v,p,t,w,a,h,cruise
253.46411,16.73165,-13.72206,39048.56641,0.70043,15487.33105,1
252.63126,16.73256,-13.71939,39048.27734,0.76383,15485.98047,1
251.79916,16.73346,-13.71677,39047.98047,0.81364,15484.65723,1
250.95691,16.7342,-13.71459,39047.68359,0.85081,15483.55859,1
250.1104,16.73474,-13.71304,39047.375,0.87819,15482.77734,1
249.2532,16.73506,-13.71209,39047.07812,0.89963,15482.2998,1
248.39301,16.73522,-13.71164,39046.76953,0.91889,15482.07324,1
247.53485,16.73526,-13.71152,39046.46875,0.93817,15482.01465,1
246.68013,16.73524,-13.71156,39046.17969,0.95993,15482.03809,1
245.83037,16.73521,-13.71166,39045.87109,0.98561,15482.08691,1
244.98711,16.73518,-13.71174,39045.57422,1.01564,15482.12793,1
244.14954,16.73515,-13.71182,39045.27734,1.04478,15482.16699,1
243.31483,16.73513,-13.71188,39044.97656,1.07392,15482.19824,1
242.49037,16.73512,-13.71192,39044.67969,1.10363,15482.21973,1
241.66565,16.73511,-13.71194,39044.38672,1.13363,15482.22754,1
240.84653,16.73512,-13.71193,39044.09766,1.16406,15482.22266,1
240.03259,16.73512,-13.7119,39043.79688,1.19479,15482.20801,1
239.22192,16.73514,-13.71186,39043.5,1.22569,15482.18945,1
238.42017,16.73515,-13.71182,39043.19141,1.25642,15482.16797,1
237.61995,16.73517,-13.71178,39042.89062,1.28739,15482.14551,1
236.82312,16.73518,-13.71174,39042.59375,1.31814,15482.12695,1
236.03394,16.73519,-13.7117,39042.29688,1.34892,15482.10938,1
235.25214,16.7352,-13.71167,39041.99609,1.37985,15482.09277,1
234.47552,16.73521,-13.71165,39041.70312,1.41072,15482.08203,1
233.70195,16.73522,-13.71163,39041.40234,1.44172,15482.07227,1
232.93164,16.73523,-13.71161,39041.24609,1.473,15482.06445,1
232.1644,16.73523,-13.7116,39040.9375,1.50449,15482.05762,1
231.39944,16.73523,-13.71159,39040.64453,1.53604,15482.05273,1
230.63779,16.73524,-13.71159,39040.34766,1.56788,15482.0498,1
229.88177,16.73524,-13.71158,39040.05078,1.59967,15482.04492,1
229.12952,16.73524,-13.71157,39039.75391,1.63187,15482.04004,1
228.37859,16.73524,-13.71156,39039.45703,1.66404,15482.03711,1
227.63785,16.73525,-13.71155,39039.16016,1.69636,15482.03223,1
226.89491,16.73525,-13.71154,39038.85938,1.72892,15482.0293,1
226.12099,16.73525,-13.71154,39038.57422,1.76053,15482.02441,1
225.29298,16.73527,-13.71147,39038.27734,1.79819,15481.99023,1
224.52573,16.73531,-13.71136,39037.98047,1.83605,15481.93457,1
223.79918,16.73535,-13.71126,39037.67969,1.87009,15481.88184,1
223.07518,16.73537,-13.71118,39037.39062,1.90388,15481.84277,1
222.35532,16.73539,-13.71113,39037.08594,1.93734,15481.81934,1
221.6384,16.7354,-13.71111,39036.79297,1.97083,15481.80762,1
220.92331,16.7354,-13.71111,39036.49609,2.00413,15481.80762,1
220.21501,16.73539,-13.71112,39036.19922,2.03772,15481.81543,1
