v,p,t,w,a,h,cruise
256.54047,13.86725,-22.31457,38168.63281,1.0655,19831.85742,1
256.56384,13.86749,-22.31382,38167.98047,1.06474,19831.47656,1
256.5856,13.8677,-22.31319,38167.32812,1.06372,19831.15625,1
256.60382,13.86786,-22.31268,38166.6875,1.06172,19830.89844,1
256.61917,13.86799,-22.31227,38166.03906,1.05978,19830.69531,1
256.63367,13.8681,-22.31195,38165.375,1.05788,19830.5332,1
256.6485,13.86819,-22.31168,38164.71484,1.05571,19830.39844,1
256.66135,13.86826,-22.31146,38164.06641,1.05459,19830.28711,1
256.67276,13.86832,-22.31127,38163.40625,1.05402,19830.1875,1
256.68542,13.86838,-22.31108,38162.75391,1.05258,19830.0957,1
256.69516,13.86843,-22.31091,38162.09766,1.05211,19830.01172,1
256.49594,13.86849,-22.31075,38161.53516,1.0618,19829.92578,1
256.22058,13.86858,-22.31046,38161.02734,1.07003,19829.7793,1
255.95131,13.86877,-22.30989,38160.51172,1.08534,19829.49023,1
255.68785,13.86903,-22.30908,38160.01953,1.10341,19829.07617,1
255.42117,13.86933,-22.30814,38159.49219,1.12104,19828.60352,1
255.14815,13.86964,-22.3072,38159,1.1357,19828.12695,1
254.86488,13.86992,-22.30632,38158.50391,1.14851,19827.68164,1
254.58054,13.87018,-22.30554,38158.00781,1.15995,19827.29102,1
254.2973,13.87039,-22.3049,38157.50781,1.16977,19826.96484,1
254.01236,13.87056,-22.30437,38157.01172,1.17941,19826.69727,1
253.74164,13.87069,-22.30397,38156.52344,1.18693,19826.49609,1
253.45903,13.87079,-22.30364,38156.02734,1.1957,19826.33008,1
253.23587,13.87191,-22.30021,38155.78125,1.208,19824.59375,1
253.22902,13.87191,-22.3002,38155.78125,1.20713,19824.58984,1
253.05751,13.87196,-22.30005,38155.53516,1.22098,19824.51562,1
252.77429,13.87199,-22.29995,38155.03125,1.22746,19824.46875,1
252.48534,13.87196,-22.30003,38154.52734,1.23332,19824.51172,1
252.19824,13.8719,-22.30024,38154.03125,1.23815,19824.61523,1
251.91252,13.87181,-22.30049,38153.53516,1.2452,19824.74414,1
251.62973,13.87173,-22.30074,38153.03516,1.25271,19824.86914,1
251.35051,13.87167,-22.30095,38152.53516,1.26235,19824.97266,1
251.07553,13.87162,-22.3011,38152.03906,1.27281,19825.04883,1
250.80229,13.87158,-22.3012,38151.53906,1.28344,19825.09961,1
250.53241,13.87157,-22.30126,38151.04297,1.29341,19825.12891,1
250.2635,13.87156,-22.30128,38150.55469,1.30432,19825.14062,1
249.99962,13.87156,-22.30129,38150.05078,1.31445,19825.14258,1
249.73729,13.87156,-22.30129,38149.55078,1.32494,19825.14258,1
249.478,13.87156,-22.30129,38149.04688,1.3354,19825.14258,1
249.21873,13.87155,-22.3013,38148.54688,1.34425,19825.15039,1
248.95995,13.87155,-22.30131,38148.04688,1.35406,19825.15625,1
248.70303,13.87154,-22.30134,38147.55078,1.36316,19825.16797,1
248.44771,13.87153,-22.30137,38147.05469,1.37286,19825.18555,1
248.19362,13.87152,-22.3014,38146.55859,1.38257,19825.20312,1
247.94221,13.87151,-22.30144,38146.05859,1.39162,19825.22266,1
247.69322,13.87149,-22.30148,38145.5625,1.40121,19825.24219,1
247.44687,13.87148,-22.30152,38145.0625,1.41011,19825.26367,1
247.20279,13.87147,-22.30156,38144.57031,1.41989,19825.28516,1
246.96112,13.87145,-22.30161,38144.07031,1.42833,19825.30469,1
246.71959,13.87144,-22.30165,38143.57031,1.43795,19825.32617,1
246.47853,13.87143,-22.30169,38143.07031,1.44641,19825.34766,1
246.23955,13.87141,-22.30173,38142.57422,1.45574,19825.36719,1
246.00232,13.8714,-22.30176,38142.07812,1.46472,19825.38672,1
245.77197,13.87139,-22.3018,38141.56641,1.47393,19825.4043,1
245.53894,13.87138,-22.30184,38141.07031,1.48333,19825.42383,1
245.30794,13.87136,-22.30188,38140.57422,1.49171,19825.44531,1
245.07834,13.87135,-22.30192,38140.07422,1.50041,19825.46484,1
244.84975,13.87134,-22.30196,38139.57812,1.50931,19825.48633,1
244.62256,13.87132,-22.302,38139.08203,1.51826,19825.50586,1
244.39763,13.87131,-22.30204,38138.58203,1.52679,19825.52539,1
244.1743,13.8713,-22.30207,38138.08984,1.53572,19825.54297,1
243.95241,13.87129,-22.30211,38137.59375,1.54466,19825.56055,1
243.73273,13.87128,-22.30215,38137.09375,1.55257,19825.58008,1
243.51546,13.87126,-22.30219,38136.59375,1.56167,19825.59766,1
243.29929,13.87125,-22.30223,38136.09375,1.57054,19825.61914,1
243.0831,13.87124,-22.30227,38135.59766,1.57844,19825.64062,1
242.86841,13.87123,-22.30231,38135.10547,1.58713,19825.6582,1
242.65594,13.87121,-22.30234,38134.60547,1.59568,19825.67773,1
242.44521,13.8712,-22.30238,38134.10547,1.6042,19825.69531,1
242.23622,13.87119,-22.30242,38133.60938,1.61255,19825.71484,1
242.0274,13.87118,-22.30245,38133.11328,1.62089,19825.73438,1
241.82433,13.87117,-22.30249,38132.61719,1.6289,19825.75195,1
241.619,13.87115,-22.30253,38132.11719,1.63713,19825.77148,1
241.41695,13.87114,-22.30256,38131.62109,1.64546,19825.78906,1
241.21707,13.87113,-22.3026,38131.125,1.65315,19825.80664,1
241.01691,13.87112,-22.30264,38130.625,1.66149,19825.82617,1
240.86932,13.87155,-22.30132,38130.125,1.67819,19825.15625,1
240.79158,13.87155,-22.30131,38130.125,1.67455,19825.1543,1
240.67699,13.87155,-22.30132,38129.61719,1.68142,19825.1582,1
240.47983,13.87152,-22.30138,38129.11328,1.68915,19825.19141,1
240.28004,13.87148,-22.30152,38128.62109,1.69455,19825.26367,1
240.08141,13.87142,-22.30171,38128.125,1.70081,19825.35742,1
239.88547,13.87135,-22.30191,38127.625,1.70783,19825.46289,1
239.69234,13.87129,-22.30211,38127.13281,1.71416,19825.56055,1
239.50095,13.87123,-22.30229,38126.63281,1.72155,19825.65039,1
239.30736,13.87118,-22.30244,38126.14062,1.72946,19825.72656,1
238.82794,13.87115,-22.30255,38125.76953,1.7621,19825.7832,1
238.10457,13.87118,-22.30245,38125.47656,1.78381,19825.73047,1
237.39282,13.8714,-22.30177,38125.1875,1.82646,19825.38281,1
236.69557,13.8718,-22.30054,38124.89844,1.87651,19824.75391,1
236.00706,13.87231,-22.29895,38124.60547,1.92612,19823.95117,1
235.32071,13.87286,-22.29725,38124.31641,1.9716,19823.0918,1
234.63422,13.87339,-22.29563,38124.02734,2.01276,19822.27344,1
233.94324,13.87385,-22.2942,38123.74219,2.04763,19821.55273,1
233.26053,13.87423,-22.29304,38123.44922,2.07909,19820.96289,1
232.5742,13.87453,-22.29212,38123.16016,2.10861,19820.50195,1
231.87834,13.87476,-22.29141,38122.86719,2.13728,19820.14453,1
231.17931,13.87493,-22.29088,38122.57812,2.16651,19819.87891,1
230.48416,13.87506,-22.29048,38122.29297,2.19604,19819.67773,1
229.79085,13.87516,-22.29016,38122,2.22642,19819.51758,1
229.09666,13.87525,-22.28989,38121.71094,2.25806,19819.38086,1
228.40622,13.87533,-22.28965,38121.42578,2.29072,19819.25586,1
227.71756,13.87541,-22.28941,38121.13672,2.32439,19819.13672,1
227.03261,13.87548,-22.28918,38120.84766,2.35793,19819.01953,1
226.35159,13.87556,-22.28895,38120.55859,2.39264,19818.90234,1
225.67235,13.87563,-22.28872,38120.26562,2.42737,19818.78711,1
224.9958,13.8757,-22.2885,38119.97656,2.46222,19818.67578,1
224.32214,13.87577,-22.28829,38119.6875,2.49713,19818.57227,1
223.65218,13.87583,-22.2881,38119.40234,2.53227,19818.47656,1
222.98352,13.87589,-22.28793,38119.11328,2.56713,19818.38867,1
222.31503,13.87594,-22.28777,38118.82422,2.60219,19818.30859,1
221.6508,13.87598,-22.28763,38118.53516,2.63764,19818.23633,1
220.99565,13.87603,-22.2875,38118.24219,2.67289,19818.17383,1
220.33328,13.87606,-22.28738,38117.95312,2.7081,19818.11328,1
219.67441,13.8761,-22.28728,38117.66406,2.74449,19818.05859,1
219.01756,13.87613,-22.28717,38117.375,2.78105,19818.00391,1
218.36333,13.87616,-22.28708,38117.08203,2.81736,19817.95703,1
217.72041,13.87619,-22.28699,38116.93359,2.85341,19817.91406,1
217.06824,13.87622,-22.28691,38116.64453,2.89022,19817.87109,1
216.42883,13.87624,-22.28683,38116.35547,2.92648,19817.83398,1
215.78377,13.87627,-22.28676,38116.06641,2.96416,19817.79688,1
215.13985,13.87629,-22.28669,38115.77734,3.00164,19817.75977,1
214.49687,13.87631,-22.28662,38115.49219,3.0395,19817.72461,1
213.85716,13.87634,-22.28655,38115.19922,3.07735,19817.69141,1
213.21877,13.87636,-22.28648,38114.91406,3.11571,19817.65625,1
212.58299,13.87638,-22.28642,38114.62109,3.15388,19817.625,1
211.94943,13.8764,-22.28635,38114.33594,3.19246,19817.59375,1
211.31799,13.87642,-22.28629,38114.04297,3.23136,19817.5625,1
210.68816,13.87643,-22.28624,38113.75391,3.27014,19817.5332,1
210.05934,13.87645,-22.28619,38113.46875,3.3098,19817.50586,1
209.43288,13.87647,-22.28613,38113.17969,3.34917,19817.47852,1
208.8091,13.87649,-22.28608,38112.89062,3.38889,19817.45312,1
208.18741,13.87651,-22.28602,38112.60156,3.42879,19817.42578,1
207.56609,13.87652,-22.28596,38112.3125,3.46896,19817.39648,1
206.94853,13.87654,-22.28591,38112.02344,3.50938,19817.36914,1
206.32999,13.87656,-22.28586,38111.73438,3.55014,19817.33984,1
205.71294,13.87658,-22.2858,38111.44922,3.59148,19817.3125,1
205.09854,13.87659,-22.28575,38111.16406,3.63221,19817.28516,1
204.48776,13.87661,-22.28569,38110.87109,3.67354,19817.25586,1
203.87967,13.87663,-22.28563,38110.58203,3.71542,19817.22852,1
203.26912,13.87665,-22.28558,38110.29297,3.75727,19817.20117,1
202.66074,13.87667,-22.28552,38110.00391,3.79955,19817.17383,1
202.05495,13.87668,-22.28547,38109.71484,3.84199,19817.14453,1
201.45264,13.8767,-22.28541,38109.42969,3.88491,19817.11523,1
200.84778,13.87672,-22.28535,38109.14062,3.92791,19817.08789,1
200.24431,13.87674,-22.2853,38108.85156,3.97108,19817.05859,1
199.64249,13.87676,-22.28523,38108.56641,4.01517,19817.02539,1
199.04955,13.87678,-22.28517,38108.27344,4.05934,19816.99023,0
198.45041,13.87681,-22.2851,38107.98438,4.10328,19816.95703,0
197.8513,13.87683,-22.28503,38107.69531,4.14797,19816.91992,0
197.25575,13.87685,-22.28495,38107.41016,4.19287,19816.88477,0
196.66731,13.87687,-22.28488,38107.12109,4.23754,19816.84766,0
196.07019,13.8769,-22.28481,38106.83203,4.28336,19816.8125,0
195.47876,13.87692,-22.28474,38106.53906,4.32942,19816.77539,0
194.88605,13.87694,-22.28466,38106.25391,4.37564,19816.74023,0
194.29465,13.87697,-22.28459,38105.96094,4.42191,19816.70312,0
193.70602,13.87699,-22.28452,38105.67578,4.46916,19816.66406,0
193.11743,13.87702,-22.28444,38105.38281,4.51624,19816.625,0
192.52969,13.87704,-22.28436,38105.10156,4.56388,19816.58594,0
191.94463,13.87707,-22.28428,38104.80859,4.61204,19816.54297,0
191.35811,13.8771,-22.28419,38104.52344,4.66031,19816.49805,0
190.77171,13.87713,-22.28409,38104.23438,4.70984,19816.44922,0
190.18602,13.87716,-22.28399,38103.94531,4.75978,19816.39844,0
189.60179,13.8772,-22.28388,38103.65625,4.80987,19816.3418,0
189.02066,13.87724,-22.28377,38103.37109,4.86019,19816.28516,0
188.43761,13.87727,-22.28366,38103.08203,4.91085,19816.23047,0
187.85361,13.87731,-22.28355,38102.79297,4.96329,19816.17383,0
187.27147,13.87734,-22.28344,38102.50391,5.01427,19816.11719,0
186.68858,13.87738,-22.28333,38102.21484,5.06557,19816.0625,0
186.11067,13.87742,-22.2832,38101.92578,5.09113,19815.99609,0
185.54315,13.87753,-22.28288,38101.63672,5.11341,19815.83008,0
184.99347,13.87777,-22.28212,38101.35156,5.13875,19815.44727,0
184.46999,13.87821,-22.28076,38101.0625,5.1668,19814.75195,0
183.97131,13.8789,-22.27863,38100.77344,5.19832,19813.66602,0
183.50438,13.87988,-22.27563,38100.48438,5.23182,19812.14258,0
183.06693,13.88115,-22.27169,38100.19922,5.26811,19810.14648,0
182.66331,13.88274,-22.26679,38099.90625,5.30526,19807.66211,0
182.28668,13.88464,-22.26093,38099.61719,5.34482,19804.69336,0
181.93849,13.88684,-22.25415,38099.33203,5.3846,19801.25391,0
181.61638,13.88932,-22.2465,38099.04688,5.42494,19797.37891,0
181.31609,13.89206,-22.23806,38098.75781,5.46514,19793.10742,0
181.03722,13.89502,-22.22893,38098.46484,5.50468,19788.48633,0
180.77484,13.89817,-22.21922,38098.17969,5.54361,19783.57422,0
180.52464,13.90147,-22.20902,38097.88672,5.5816,19778.41602,0
180.28052,13.9049,-22.19847,38097.60547,5.61897,19773.08008,0
180.04561,13.9084,-22.18768,38097.31641,5.65392,19767.61719,0
179.81059,13.91195,-22.17673,38097.02734,5.68885,19762.08008,0
179.57553,13.91552,-22.16572,38096.73828,5.72168,19756.51562,0
179.33893,13.91909,-22.15473,38096.44922,5.75315,19750.96094,0
179.09801,13.92262,-22.14384,38096.16016,5.78381,19745.45703,0
178.85158,13.9261,-22.13311,38095.87109,5.81331,19740.03125,0
178.60062,13.92952,-22.12258,38095.58594,5.84131,19734.70898,0
178.33842,13.93286,-22.11229,38095.29688,5.8699,19729.50586,0
178.07097,13.93612,-22.10225,38095.00781,5.89662,19724.43359,0
177.79555,13.93929,-22.09248,38094.71484,5.92369,19719.49609,0
177.51271,13.94238,-22.08299,38094.42578,5.95017,19714.69727,0
177.22127,13.94538,-22.07374,38094.13672,5.97688,19710.02734,0
176.9221,13.94829,-22.06476,38093.84375,6.00389,19705.48242,0
176.61844,13.95113,-22.05601,38093.55469,6.03057,19701.05859,0
176.30817,13.95391,-22.04746,38093.26953,6.05825,19696.74219,0
175.99568,13.9566,-22.03919,38092.97656,6.08583,19692.55859,0
175.67668,13.95927,-22.03096,38092.6875,6.11429,19688.40039,0
175.35658,13.96187,-22.02296,38092.39844,6.14333,19684.35742,0
175.03133,13.96447,-22.01495,38092.10547,6.17285,19680.30664,0
174.71042,13.96701,-22.00711,38091.81641,6.2027,19676.3418,0
174.38249,13.96958,-21.99921,38091.52734,6.23403,19672.35156,0
174.0556,13.97214,-21.99134,38091.23828,6.26543,19668.37305,0
173.7276,13.9747,-21.98347,38090.94531,6.29804,19664.38867,0
173.4016,13.97727,-21.97554,38090.66016,6.33051,19660.38672,0
173.08096,13.97982,-21.96769,38090.37109,6.3634,19656.41602,0
172.75795,13.98239,-21.95977,38090.07812,6.39756,19652.41016,0
172.43874,13.98498,-21.95182,38089.80078,6.4311,19648.39062,0
172.12186,13.98755,-21.9439,38089.50781,6.46571,19644.38281,0
171.80699,13.99015,-21.9359,38089.23438,6.49995,19640.33984,0
171.4939,13.99277,-21.92783,38088.93359,6.53433,19636.25781,0
171.1787,13.99541,-21.9197,38088.62891,6.56995,19632.15039,0
170.86592,13.99805,-21.9116,38088.33594,6.60537,19628.05664,0
170.55412,14.00067,-21.90352,38088.04297,6.64099,19623.9707,0
170.24315,14.00331,-21.8954,38087.75781,6.67624,19619.85938,0
169.9287,14.00596,-21.88725,38087.47656,6.71306,19615.74414,0
169.61829,14.0086,-21.87914,38087.18359,6.7484,19611.64258,0
169.3064,14.01123,-21.87103,38086.89453,6.78485,19607.54102,0
168.9908,14.01388,-21.86289,38086.60156,6.8216,19603.42188,0
168.67786,14.01649,-21.85488,38086.30078,6.85819,19599.37305,0
168.36205,14.01911,-21.84682,38086.01953,6.89495,19595.30078,0
168.04791,14.02169,-21.83888,38085.72656,6.93168,19591.2832,0
167.72714,14.0243,-21.83084,38085.42578,6.96948,19587.2207,0
167.40942,14.02688,-21.82291,38085.13672,7.0067,19583.21289,0
167.08553,14.02947,-21.81495,38084.84375,7.04504,19579.1875,0
166.76131,14.03203,-21.80708,38084.55859,7.08356,19575.20703,0
166.43848,14.03457,-21.79927,38084.25,7.1218,19571.25977,0
166.11305,14.03709,-21.79152,38083.97266,7.16083,19567.33789,0
165.78799,14.0396,-21.7838,38083.68359,7.19934,19563.4375,0
165.46107,14.04212,-21.77605,38083.40234,7.23849,19559.51953,0
165.12936,14.04463,-21.76834,38083.125,7.27935,19555.62109,0
164.79822,14.04712,-21.7607,38082.83594,7.31939,19551.75781,0
164.46629,14.04958,-21.75312,38082.53906,7.3602,19547.92383,0
164.13106,14.05206,-21.74549,38082.25,7.40139,19544.06836,0
163.80029,14.05451,-21.73799,38081.96094,7.44223,19540.27148,0
163.46292,14.05697,-21.73041,38081.66797,7.48463,19536.43945,0
163.13074,14.0594,-21.72295,38081.375,7.52591,19532.66797,0
162.79239,14.06185,-21.71542,38081.08203,7.55322,19528.85938,0
162.46243,14.06433,-21.70781,38080.78906,7.56573,19525.01367,0
162.14336,14.06688,-21.69997,38080.5,7.58033,19521.04883,0
161.84465,14.06955,-21.69175,38080.20703,7.59289,19516.88477,0
161.56726,14.07241,-21.68298,38079.91797,7.60546,19512.44531,0
161.31795,14.07549,-21.67352,38079.625,7.61611,19507.66016,0
161.1015,14.07882,-21.66328,38079.33594,7.62517,19502.47461,0
160.91966,14.08245,-21.65212,38079.04688,7.63282,19496.82812,0
160.77347,14.0864,-21.63999,38078.75391,7.63905,19490.6875,0
160.66626,14.09069,-21.62681,38078.46094,7.64312,19484.01367,0
160.59891,14.09533,-21.61256,38078.17188,7.64535,19476.80078,0
160.57613,14.10027,-21.5974,38077.87891,7.64435,19469.12695,0
160.5889,14.10564,-21.5809,38077.58594,7.64321,19460.77734,0
160.64662,14.11137,-21.56332,38077.29297,7.63765,19451.87695,0
160.886,14.11742,-21.54476,38076.96875,7.59127,19442.48633,0
161.45181,14.1237,-21.52549,38076.57422,7.4936,19432.74023,0
162.0226,14.13006,-21.50598,38076.16406,7.4587,19422.875,0
162.56514,14.13636,-21.48664,38075.76172,7.43133,19413.0957,0
163.07896,14.1425,-21.4678,38075.35547,7.40659,19403.58008,0
163.55434,14.14838,-21.44975,38074.94922,7.38449,19394.46094,0
163.97685,14.15392,-21.43277,38074.54297,7.36551,19385.88477,0
164.09543,14.15906,-21.417,38074.20312,7.41531,19377.92188,0
164.05299,14.16381,-21.40245,38073.875,7.61827,19370.57227,0
163.95969,14.16818,-21.38905,38073.55078,7.47909,19363.79883,0
163.98044,14.17335,-21.37317,38073.23828,7.40917,19355.72656,0
164.35471,14.18166,-21.34771,38072.91016,7.47889,19342.74805,0
165.31879,14.19588,-21.30412,38072.58203,7.56306,19320.55664,0
166.87949,14.21606,-21.24229,38072.25781,7.18839,19289.17773,0
168.89804,14.24049,-21.16747,38071.9375,6.94339,19251.26953,0
171.05295,14.267,-21.08632,38071.60938,7.03134,19210.21875,0
173.10808,14.29346,-21.00539,38071.28516,6.99676,19169.31836,0
174.95189,14.31848,-20.92888,38070.96094,6.91287,19130.68164,0
176.55078,14.34149,-20.85855,38070.63281,6.81736,19095.16797,0
177.97758,14.36281,-20.79342,38070.30469,6.67703,19062.25781,0
179.33025,14.38338,-20.73061,38069.97656,6.61942,19030.50781,0
180.651,14.40392,-20.66791,38069.64844,6.54722,18998.80664,0
181.96376,14.42462,-20.60476,38069.30859,6.47858,18966.87109,0
183.25388,14.44548,-20.54113,38068.97656,6.4974,18934.70312,0
184.42035,14.46555,-20.47994,38068.65234,6.50546,18903.79492,0
185.36436,14.48361,-20.4249,38068.32422,6.4953,18876.0293,0
185.97612,14.49831,-20.38014,38067.99219,6.50251,18853.48242,0
186.21014,14.5092,-20.34697,38067.66016,6.50984,18836.80859,0
186.02884,14.51564,-20.32736,38067.32812,6.51889,18826.99805,0
185.43736,14.51752,-20.32163,38066.99609,6.53886,18824.20703,0
184.43391,14.51496,-20.32943,38066.66797,6.57086,18828.24805,0
183.04582,14.50812,-20.35024,38066.33594,6.61555,18838.86719,0
181.30016,14.49732,-20.38313,38066.00391,6.67327,18855.58594,0
179.22624,14.48291,-20.42705,38065.67188,6.7447,18877.86523,0
176.90015,14.46564,-20.47967,38065.33984,6.78458,18904.53516,0
174.33498,14.44567,-20.54056,38065.00781,6.73631,18935.375,0
171.64333,14.42407,-20.60644,38064.67969,6.73834,18968.7168,0
168.8763,14.40153,-20.67521,38064.34766,6.77798,19003.5,0
166.09119,14.37871,-20.74485,38064.02344,6.85435,19038.70703,0
163.34268,14.35622,-20.81355,38063.69531,6.96469,19073.42969,0
160.67073,14.33448,-20.87997,38063.36328,7.1067,19106.99219,0
158.1205,14.31395,-20.94272,38063.02344,7.27655,19138.68945,0
155.70354,14.29477,-21.00139,38062.69531,7.47146,19168.31641,0
153.4532,14.27725,-21.05497,38062.36719,7.68753,19195.36523,0
151.39534,14.26159,-21.10289,38062.04297,7.91737,19219.55078,0
149.54478,14.24788,-21.14487,38061.71875,8.08607,19240.73047,0
147.94495,14.23629,-21.18033,38061.39062,8.17263,19258.60938,0
146.62616,14.22706,-21.20861,38061.0625,8.25351,19272.85156,0
145.61295,14.22034,-21.22918,38060.74219,8.31694,19283.19336,0
144.9247,14.2163,-21.24157,38060.41406,8.3622,19289.39648,0
144.57225,14.215,-21.24554,38060.08984,8.38693,19291.33789,0
144.55438,14.21649,-21.24096,38059.76562,8.39194,19288.95898,0
144.86977,14.22079,-21.22781,38059.44141,8.37582,19282.24609,0
145.50589,14.22782,-21.20627,38059.11328,8.3394,19271.29102,0
146.4389,14.23749,-21.17666,38058.78516,8.2859,19256.26172,0
147.64636,14.24968,-21.13935,38058.46484,8.21614,19237.33789,0
149.09569,14.2642,-21.0949,38058.13672,8.13332,19214.81641,0
150.75032,14.28084,-21.04399,38057.8125,8.04085,19189.02734,0
152.5762,14.29936,-20.98734,38057.48438,7.94034,19160.3418,0
154.52621,14.31944,-20.92594,38057.16016,7.83616,19129.26953,0
156.55676,14.34076,-20.86079,38056.83203,7.73094,19096.30273,0
158.63098,14.36303,-20.79275,38056.50391,7.62671,19061.88086,0
160.70607,14.38585,-20.72306,38056.17578,7.52474,19026.64062,0
162.74828,14.40894,-20.6526,38055.85156,7.42744,18991.00977,0
164.69533,14.43165,-20.58331,38055.52344,7.33743,18955.98438,0
166.55025,14.45404,-20.51505,38055.19141,7.25354,18921.48438,0
168.263,14.47556,-20.44946,38054.85938,7.17839,18888.3457,0
169.80678,14.49586,-20.38758,38054.53125,7.11157,18857.0918,0
171.15916,14.51468,-20.33027,38054.19922,7.05387,18828.15234,0
172.28471,14.53146,-20.27918,38053.86719,7.00598,18802.36914,0
173.19881,14.54646,-20.23354,38053.53906,6.96754,18779.33984,0
173.87389,14.55924,-20.19465,38053.20703,6.93859,18759.72656,0
174.30167,14.56963,-20.16303,38052.875,6.91938,18743.79492,0
174.47749,14.57748,-20.13917,38052.54297,6.91048,18731.78906,0
174.40822,14.58292,-20.12261,38052.20703,6.91066,18723.4707,0
174.10011,14.58584,-20.11373,38051.875,6.92034,18719.03711,0
173.56291,14.58639,-20.11207,38051.54297,6.9387,18718.25391,0
172.79947,14.58462,-20.11744,38051.20703,6.96603,18721.02344,0
171.82838,14.58068,-20.12944,38050.875,7.00259,18727.13672,0
170.67188,14.57475,-20.14747,38050.54297,7.04671,18736.29297,0
169.34926,14.56707,-20.17084,38050.20703,7.09891,18748.14844,0
167.89296,14.55791,-20.19868,38049.87891,7.15739,18762.25586,0
166.32402,14.54755,-20.23022,38049.54688,7.22249,18778.23047,0
164.69225,14.5364,-20.26414,38049.21094,7.29196,18795.39453,0
162.99339,14.52455,-20.30021,38048.87891,7.36629,18813.64258,0
161.27173,14.5124,-20.33722,38048.54688,7.4442,18832.36133,0
159.56415,14.50028,-20.37414,38048.21484,7.52381,18851.02539,0
157.89679,14.48844,-20.41021,38047.88281,7.60357,18869.25,0
156.30516,14.47721,-20.44442,38047.55469,7.68222,18886.53125,0
154.83815,14.46697,-20.47561,38047.38281,7.75662,18902.27539,0
153.47781,14.45768,-20.50394,38047.05078,7.82841,18916.57422,0
152.27856,14.44971,-20.52824,38046.72266,7.89221,18928.82422,0
151.2596,14.44325,-20.54794,38046.39062,7.94815,18938.75586,0
150.43781,14.43843,-20.56264,38046.0625,7.99437,18946.14453,0
149.82547,14.43538,-20.57194,38045.73047,8.02989,18950.80664,0
149.43184,14.43419,-20.57558,38045.39844,8.05396,18952.60156,0
149.26227,14.43491,-20.57338,38045.07031,8.06535,18951.44727,0
149.31773,14.43755,-20.56532,38044.74609,8.06334,18947.32617,0
149.59328,14.44211,-20.55142,38044.41797,8.04884,18940.25391,0
150.07761,14.44853,-20.53183,38044.08594,8.02279,18930.30469,0
150.75594,14.45676,-20.50674,38043.75391,7.98649,18917.58594,0
151.61234,14.46667,-20.47653,38043.42578,7.9402,18902.26953,0
152.62697,14.47815,-20.44156,38043.09375,7.88546,18884.55078,0
153.77266,14.491,-20.40238,38042.76953,7.82479,18864.71484,0
155.01384,14.50495,-20.35991,38042.4375,7.7601,18843.21875,0
156.32722,14.51981,-20.31465,38042.10156,7.69278,18820.3125,0
157.71045,14.53565,-20.26642,38041.76953,7.62233,18795.91211,0
159.11702,14.55202,-20.21663,38041.44141,7.55288,18770.72656,0
160.50159,14.56844,-20.16666,38041.10547,7.48532,18745.45703,0
161.87263,14.58513,-20.11589,38040.77344,7.42008,18719.78906,0
163.17101,14.60141,-20.06639,38040.44141,7.35932,18694.76758,0
164.39436,14.61725,-20.01826,38040.11328,7.30195,18670.44922,0
165.51872,14.63244,-19.97212,38039.78125,7.25109,18647.13672,0
166.54066,14.64694,-19.92805,38039.44531,7.20434,18624.87891,0
167.42644,14.66033,-19.8874,38039.11328,7.16467,18604.34961,0
168.15291,14.67231,-19.85104,38038.77734,7.13249,18585.99609,0
168.73154,14.68302,-19.81851,38038.44141,7.106,18569.58398,0
169.13832,14.6921,-19.79098,38038.10938,7.08715,18555.69727,0
169.38129,14.69967,-19.768,38037.77344,7.07479,18544.11719,0
169.45088,14.70551,-19.7503,38037.4375,7.06998,18535.20508,0
169.35017,14.70973,-19.73748,38037.10156,7.07207,18528.76367,0
169.08759,14.71226,-19.72981,38036.76953,7.08044,18524.92383,0
168.67027,14.7132,-19.72696,38036.42969,7.09578,18523.51953,0
168.13699,14.71269,-19.72851,38036.10547,7.11597,18524.33203,0
167.43504,14.71075,-19.73438,38035.76953,7.14378,18527.33203,0
166.60861,14.70751,-19.74422,38035.43359,7.177,18532.33789,0
165.6864,14.70318,-19.75736,38035.09766,7.21486,18539.00586,0
164.66296,14.69782,-19.77361,38034.76172,7.25749,18547.24219,0
163.5677,14.69168,-19.79225,38034.43359,7.30519,18556.67969,0
162.42509,14.68497,-19.81262,38034.09766,7.3551,18566.99023,0
161.25563,14.67789,-19.83411,38033.76172,7.40724,18577.86523,0
160.08037,14.67066,-19.85606,38033.42578,7.46139,18588.96094,0
158.92265,14.66347,-19.87786,38033.08984,7.51523,18599.98047,0
157.8143,14.65662,-19.89867,38032.75781,7.56835,18610.49609,0
156.7486,14.65012,-19.91842,38032.42188,7.62018,18620.4668,0
155.76091,14.64423,-19.93629,38032.08984,7.66972,18629.48828,0
154.87091,14.63914,-19.95177,38031.75391,7.71463,18637.29492,0
154.09369,14.63497,-19.96441,38031.41797,7.75482,18643.66406,0
153.44006,14.63186,-19.97387,38031.08594,7.78942,18648.41992,0
152.92453,14.6299,-19.97982,38030.75,7.81656,18651.40039,0
152.55493,14.62918,-19.98201,38030.41797,7.83637,18652.48047,0
152.33304,14.62975,-19.98027,38030.08594,7.84869,18651.57227,0
152.26244,14.63165,-19.97452,38029.75,7.85381,18648.63281,0
152.34343,14.63487,-19.96472,38029.42188,7.84973,18643.64844,0
152.57014,14.63941,-19.95093,38029.08594,7.83817,18636.64453,0
