,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133414400-0500:,41.56645,30.09251,24.02289,867.42444,2718.08984, 
:2020-02-08 133414600-0500:,42.14481,30.09254,24.02294,867.39801,2718.08984, 
:2020-02-08 133414800-0500:,42.71532,30.09256,24.02298,867.38098,2718.073, 
:2020-02-08 133415000-0500:,43.28145,30.09258,24.02303,867.35242,2718.073, 
:2020-02-08 133415200-0500:,43.84335,30.0926,24.02307,867.33539,2718.073, 
:2020-02-08 133415400-0500:,44.40422,30.09262,24.02311,867.31519,2718.073, 
:2020-02-08 133415600-0500:,44.9551,30.09263,24.02313,867.30646,2718.073, 
:2020-02-08 133415800-0500:,45.50822,30.09264,24.02314,867.30225,2718.05615, 
:2020-02-08 133416000-0500:,46.05177,30.09263,24.02313,867.30548,2718.05615, 
:2020-02-08 133416200-0500:,46.59477,30.09262,24.02311,867.31848,2718.05615, 
:2020-02-08 133416400-0500:,47.13439,30.09261,24.02308,867.33142,2718.05615, 
:2020-02-08 133416600-0500:,47.69343,30.09259,24.02303,867.35626,2718.05615, 
:2020-02-08 133416800-0500:,48.20113,30.09257,24.023,867.37207,2718.03931, 
:2020-02-08 133417000-0500:,48.72573,30.09254,24.02295,867.39429,2718.03931, 
:2020-02-08 133417200-0500:,49.25024,30.09253,24.02293,867.40857,2718.03931, 
:2020-02-08 133417400-0500:,49.77194,30.09252,24.02291,867.4187,2718.03931, 
:2020-02-08 133417600-0500:,50.29361,30.09251,24.02289,867.42505,2718.03931, 
:2020-02-08 133417800-0500:,50.81258,30.09251,24.0229,867.4223,2718.03931, 
:2020-02-08 133418000-0500:,51.32895,30.09254,24.02294,867.39899,2718.02173, 
:2020-02-08 133418200-0500:,51.8506,30.09258,24.02302,867.354,2718.02173, 
:2020-02-08 133418400-0500:,52.36705,30.09263,24.02312,867.30658,2718.02173, 
:2020-02-08 133418600-0500:,52.87591,30.09267,24.02321,867.26019,2718.02173, 
:2020-02-08 133418800-0500:,53.37991,30.09271,24.02329,867.22156,2718.02173, 
:2020-02-08 133419000-0500:,53.87418,30.09276,24.02337,867.17731,2718.00464, 
:2020-02-08 133419200-0500:,54.35899,30.09279,24.02344,867.14545,2718.00464, 
:2020-02-08 133419400-0500:,54.8247,30.09282,24.02351,867.11206,2718.00464, 
:2020-02-08 133419600-0500:,55.29872,30.09286,24.02357,867.07727,2718.00464, 
