,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133414400-0500:,40.50863,30.09248,24.02283,867.45624,2719.41626, 
:2020-02-08 133414600-0500:,41.092,30.09249,24.02285,867.44397,2719.39941, 
:2020-02-08 133414800-0500:,41.67044,30.09251,24.02288,867.42865,2719.39941, 
:2020-02-08 133415000-0500:,42.24736,30.09253,24.02293,867.40179,2719.39941, 
:2020-02-08 133415200-0500:,42.81652,30.09256,24.02297,867.38177,2719.39941, 
:2020-02-08 133415400-0500:,43.38755,30.09259,24.02304,867.3504,2719.39941, 
:2020-02-08 133415600-0500:,43.94809,30.0926,24.02307,867.33423,2719.38208, 
:2020-02-08 133415800-0500:,44.50766,30.09263,24.02312,867.3103,2719.38208, 
:2020-02-08 133416000-0500:,45.06027,30.09263,24.02313,867.30548,2719.38208, 
:2020-02-08 133416200-0500:,45.61211,30.09264,24.02314,867.29846,2719.38208, 
:2020-02-08 133416400-0500:,46.15736,30.09263,24.02313,867.3078,2719.38208, 
:2020-02-08 133416600-0500:,46.69914,30.09262,24.02311,867.31921,2719.36523, 
:2020-02-08 133416800-0500:,47.2347,30.0926,24.02307,867.33954,2719.36523, 
:2020-02-08 133417000-0500:,47.76993,30.09258,24.02302,867.36224,2719.36523, 
:2020-02-08 133417200-0500:,48.30202,30.09256,24.02297,867.38647,2719.36523, 
:2020-02-08 133417400-0500:,48.83109,30.09253,24.02293,867.40631,2719.36523, 
:2020-02-08 133417600-0500:,49.35996,30.09251,24.02289,867.42682,2719.3479, 
:2020-02-08 133417800-0500:,49.88322,30.09251,24.02288,867.43292,2719.3479, 
:2020-02-08 133418000-0500:,50.19402,30.0925,24.02287,867.43982,2719.3479, 
:2020-02-08 133418200-0500:,50.79129,30.0925,24.02287,867.43152,2719.3479, 
:2020-02-08 133418400-0500:,51.33158,30.09253,24.02293,867.39929,2719.3479, 
:2020-02-08 133418600-0500:,51.85582,30.09259,24.02304,867.34772,2719.3479, 
:2020-02-08 133418800-0500:,52.37222,30.09263,24.02313,867.30005,2719.33057, 
:2020-02-08 133419000-0500:,52.88614,30.09268,24.02323,867.25189,2719.33057, 
:2020-02-08 133419200-0500:,53.39764,30.09272,24.02331,867.21014,2719.33057, 
:2020-02-08 133419400-0500:,53.90681,30.09277,24.0234,867.16638,2719.33057, 
:2020-02-08 133419600-0500:,54.40623,30.0928,24.02346,867.13245,2719.33057, 
:2020-02-08 133419800-0500:,54.90604,30.09284,24.02353,867.10004,2719.31348, 
:2020-02-08 133420000-0500:,55.40378,30.09287,24.0236,867.06439,2719.31348, 
:2020-02-08 133420200-0500:,55.89709,30.0929,24.02366,867.03436,2719.31348, 
:2020-02-08 133420400-0500:,56.39088,30.09294,24.02373,866.99658,2719.31348, 
:2020-02-08 133420600-0500:,56.88038,30.09298,24.02381,866.95673,2719.31348, 
:2020-02-08 133420800-0500:,57.36571,30.09302,24.0239,866.91107,2719.29639, 
:2020-02-08 133421000-0500:,57.84463,30.09307,24.02399,866.86536,2719.29639, 
:2020-02-08 133421200-0500:,58.32193,30.09312,24.02408,866.82056,2719.29639, 
:2020-02-08 133421400-0500:,58.79306,30.09317,24.02418,866.77063,2719.29639, 
:2020-02-08 133421600-0500:,59.24903,30.0932,24.02425,866.73218,2719.29639, 
:2020-02-08 133421800-0500:,59.69246,30.09324,24.02432,866.70154,2719.2793, 
:2020-02-08 133422000-0500:,60.14161,30.09326,24.02437,866.67407,2719.2793, 
:2020-02-08 133422200-0500:,60.59413,30.09329,24.02441,866.65344,2719.2793, 
:2020-02-08 133422400-0500:,61.04994,30.09331,24.02446,866.63116,2719.2793, 
:2020-02-08 133422600-0500:,61.50237,30.09333,24.02451,866.60541,2719.2793, 
:2020-02-08 133422800-0500:,61.94931,30.09336,24.02457,866.57324,2719.26196, 
:2020-02-08 133423000-0500:,62.39739,30.09341,24.02466,866.5271,2719.26196, 
:2020-02-08 133423200-0500:,62.84443,30.09346,24.02477,866.47162,2719.26196, 
:2020-02-08 133423400-0500:,63.28617,30.09353,24.0249,866.40546,2719.26196, 
:2020-02-08 133423600-0500:,63.71636,30.09359,24.02501,866.3512,2719.26196, 
:2020-02-08 133423800-0500:,64.13101,30.09363,24.02509,866.31104,2719.24463, 
:2020-02-08 133424000-0500:,64.53671,30.09366,24.02515,866.28021,2719.24463, 
:2020-02-08 133424200-0500:,64.93988,30.09368,24.02519,866.2605,2719.24463, 
:2020-02-08 133424400-0500:,65.34057,30.09368,24.0252,866.25806,2719.24463, 
:2020-02-08 133424600-0500:,65.74086,30.09368,24.02518,866.27002,2719.24463, 
:2020-02-08 133424800-0500:,66.13874,30.09366,24.02514,866.2901,2719.22705, 
:2020-02-08 133425000-0500:,66.5322,30.09363,24.02509,866.31525,2719.22705, 
:2020-02-08 133425200-0500:,66.92537,30.09361,24.02505,866.33661,2719.22705, 
:2020-02-08 133425400-0500:,67.3082,30.0936,24.02503,866.34448,2719.22705, 
:2020-02-08 133425600-0500:,67.71085,30.09361,24.02505,866.32935,2719.22705, 
