#v_a,w,h
:2005-08-06 124110000-0400:169.69,19249.69,12702.37
:2005-08-06 124120000-0400:169.01,19244.71,13136.7
:2005-08-06 124130000-0400:169.01,19244.71,13136.7
:2005-08-06 124140000-0400:169.48,19239.11,13564.05
:2005-08-06 124150000-0400:169.48,19239.11,13564.05
:2005-08-06 124200000-0400:168.35,19236.93,13998.38
:2005-08-06 124210000-0400:168.35,19234.75,13998.38
:2005-08-06 124220000-0400:168.35,19234.75,13998.38
:2005-08-06 124230000-0400:169.5,19230.08,14341.83
:2005-08-06 124240000-0400:169.5,19230.08,14341.83
:2005-08-06 124250000-0400:169.43,19227.9,14650.33
:2005-08-06 124300000-0400:169.43,19225.62,14650.33
:2005-08-06 124310000-0400:169.44,19225.62,14650.33
:2005-08-06 124320000-0400:169.44,19220.33,14972.81
:2005-08-06 124330000-0400:169.44,19220.33,14972.81
:2005-08-06 124340000-0400:169.22,19215.77,15295.28
:2005-08-06 124350000-0400:169.22,19215.77,15295.28
:2005-08-06 124400000-0400:169.46,19213.59,15603.78
:2005-08-06 124410000-0400:169.46,19211.41,15603.78
:2005-08-06 124420000-0400:169.62,19211.41,15603.78
:2005-08-06 124430000-0400:169.62,19206.12,15968.2
:2005-08-06 124440000-0400:167.6,19206.12,15968.2
:2005-08-06 124450000-0400:167.6,19203.84,16311.65
:2005-08-06 124500000-0400:167.6,19201.66,16311.65
:2005-08-06 124510000-0400:170.63,19201.66,16501.3
:2005-08-06 124520000-0400:170.63,19198.24,16501.3
:2005-08-06 124530000-0400:169.04,19198.24,16501.3
:2005-08-06 124540000-0400:169.04,19192.74,16802.81
:2005-08-06 124550000-0400:169.13,19192.74,16802.81
:2005-08-06 124600000-0400:169.13,19190.56,17111.3
:2005-08-06 124610000-0400:169.13,19188.9,17111.3
:2005-08-06 124620000-0400:169.67,19188.9,17377.85
:2005-08-06 124630000-0400:169.67,19184.23,17377.85
:2005-08-06 124640000-0400:169.3,19184.23,17377.85
:2005-08-06 124650000-0400:169.3,19182.16,17672.37
:2005-08-06 124700000-0400:169.69,19180.19,17672.37
:2005-08-06 124710000-0400:169.69,19180.19,17917.94
:2005-08-06 124720000-0400:169.69,19175.83,17917.94
:2005-08-06 124730000-0400:169.55,19175.83,18156.53
:2005-08-06 124740000-0400:169.55,19171.58,18156.53
:2005-08-06 124750000-0400:169.4,19171.58,18156.53
:2005-08-06 124800000-0400:169.4,19169.61,18367.15
:2005-08-06 124810000-0400:169.57,19167.53,18367.15
:2005-08-06 124820000-0400:169.57,19167.53,18577.77
:2005-08-06 124830000-0400:169.57,19163.07,18577.77
:2005-08-06 124840000-0400:169.57,19163.07,18577.77
:2005-08-06 124850000-0400:169.57,19161,18774.41
:2005-08-06 124900000-0400:170.5,19158.71,18774.41
:2005-08-06 124910000-0400:170.5,19158.71,18929.1
:2005-08-06 124920000-0400:175.53,19154.25,18929.1
:2005-08-06 124930000-0400:175.53,19154.25,18936.98
:2005-08-06 124940000-0400:175.53,19151.35,18936.98
:2005-08-06 124950000-0400:180.94,19151.35,18936.98
:2005-08-06 125000000-0400:180.94,19148.76,18937.87
:2005-08-06 125010000-0400:184.99,19146.27,18937.87
:2005-08-06 125020000-0400:184.99,19146.27,18938.76
:2005-08-06 125030000-0400:186.82,19141.7,18938.76
:2005-08-06 125040000-0400:186.82,19141.7,18946.64
:2005-08-06 125050000-0400:185.7,19139.52,18946.64
:2005-08-06 125100000-0400:185.7,19137.76,18946.64
:2005-08-06 125110000-0400:185.7,19137.76,19066.38
:2005-08-06 125120000-0400:179.84,19133.82,19066.38
:2005-08-06 125130000-0400:179.84,19133.82,19256.02
:2005-08-06 125140000-0400:177.18,19130.08,19256.02
:2005-08-06 125150000-0400:177.18,19130.08,19473.64
:2005-08-06 125200000-0400:173.69,19127.9,19473.64
:2005-08-06 125210000-0400:173.69,19125.83,19473.64
:2005-08-06 125220000-0400:173.69,19125.83,19670.27
:2005-08-06 125230000-0400:170.2,19121.58,19670.27
:2005-08-06 125240000-0400:170.2,19121.58,19901.87
:2005-08-06 125250000-0400:169.68,19119.5,19901.87
:2005-08-06 125300000-0400:169.68,19117.53,20056.56
:2005-08-06 125310000-0400:169.46,19117.53,20056.56
:2005-08-06 125320000-0400:169.46,19113.38,20056.56
:2005-08-06 125330000-0400:169.55,19113.38,20204.26
:2005-08-06 125340000-0400:169.55,19109.44,20204.26
:2005-08-06 125350000-0400:169.55,19109.44,20393.91
:2005-08-06 125400000-0400:169.71,19107.47,20393.91
:2005-08-06 125410000-0400:169.71,19105.6,20393.91
:2005-08-06 125420000-0400:169.72,19105.6,20583.56
:2005-08-06 125430000-0400:169.72,19101.66,20583.56
:2005-08-06 125440000-0400:169.73,19101.66,20696.3
:2005-08-06 125450000-0400:169.73,19099.17,20696.3
:2005-08-06 125500000-0400:169.73,19097.1,20830.02
:2005-08-06 125510000-0400:170.19,19097.1,20830.02
:2005-08-06 125520000-0400:170.19,19093.46,20830.02
:2005-08-06 125530000-0400:172.33,19093.46,20942.77
:2005-08-06 125540000-0400:172.33,19089.63,20942.77
:2005-08-06 125550000-0400:176.07,19089.63,20964.63
:2005-08-06 125600000-0400:176.07,19087.86,20964.63
:2005-08-06 125610000-0400:176.07,19086,20965.52
:2005-08-06 125620000-0400:179.66,19086,20965.52
:2005-08-06 125630000-0400:179.66,19082.47,20965.52
:2005-08-06 125640000-0400:181.42,19082.47,20966.41
:2005-08-06 125650000-0400:181.42,19080.39,20966.41
:2005-08-06 125700000-0400:182.57,19078.32,20967.3
:2005-08-06 125710000-0400:182.57,19078.32,20967.3
:2005-08-06 125720000-0400:182.57,19074.38,20968.19
:2005-08-06 125730000-0400:182.88,19074.38,20968.19
:2005-08-06 125740000-0400:182.88,19070.23,20968.19
:2005-08-06 125750000-0400:185.1,19070.23,20969.08
:2005-08-06 125800000-0400:185.1,19068.14,20969.08
:2005-08-06 125810000-0400:186.71,19066.27,20969.97
:2005-08-06 125820000-0400:186.71,19066.27,20969.97
:2005-08-06 125830000-0400:186.71,19062.03,20969.97
:2005-08-06 125840000-0400:188.39,19062.03,20970.86
:2005-08-06 125850000-0400:188.39,19060.79,20970.86
:2005-08-06 125900000-0400:189.16,19059.13,20971.75
:2005-08-06 125910000-0400:189.16,19059.13,20971.75
:2005-08-06 125920000-0400:189.09,19054.88,20979.63
:2005-08-06 125930000-0400:189.09,19054.88,20979.63
:2005-08-06 125940000-0400:189.09,19050.21,20979.63
:2005-08-06 125950000-0400:190.32,19050.21,20973.52
:2005-08-06 130000000-0400:190.32,19048.34,20973.52
:2005-08-06 130010000-0400:189.95,19046.47,20974.41
:2005-08-06 130020000-0400:189.95,19046.47,20974.41
:2005-08-06 130030000-0400:189.96,19042.43,20975.3
:2005-08-06 130040000-0400:189.96,19042.43,20975.3
:2005-08-06 130050000-0400:189.96,19040.56,20975.3
:2005-08-06 130100000-0400:190.27,19038.69,20976.19
:2005-08-06 130110000-0400:190.27,19038.69,20976.19
:2005-08-06 130120000-0400:190.74,19035.37,20991.06
:2005-08-06 130130000-0400:190.74,19035.37,20991.06
:2005-08-06 130140000-0400:189.84,19030.39,20991.95
:2005-08-06 130150000-0400:189.84,19030.39,20991.95
:2005-08-06 130200000-0400:189.84,19028.53,20991.95
:2005-08-06 130210000-0400:185.74,19026.56,21125.67
:2005-08-06 130220000-0400:185.74,19026.56,21125.67
:2005-08-06 130230000-0400:181.56,19022.41,21329.3
:2005-08-06 130240000-0400:181.56,19022.41,21329.3
:2005-08-06 130250000-0400:177.61,19020.54,21525.94
:2005-08-06 130300000-0400:177.61,19018.46,21525.94
:2005-08-06 130310000-0400:177.61,19018.46,21525.94
:2005-08-06 130320000-0400:173.44,19015.04,21715.59
:2005-08-06 130330000-0400:173.44,19015.04,21715.59
:2005-08-06 130340000-0400:170.48,19011.2,21933.2
:2005-08-06 130350000-0400:170.48,19011.2,21933.2
:2005-08-06 130400000-0400:170.18,19009.02,21933.2
:2005-08-06 130410000-0400:170.18,19007.16,22108.87
:2005-08-06 130420000-0400:169.96,19007.16,22108.87
:2005-08-06 130430000-0400:169.96,19003.63,22263.56
:2005-08-06 130440000-0400:169.96,19003.63,22263.56
:2005-08-06 130450000-0400:169.97,19001.66,22376.31
:2005-08-06 130500000-0400:169.97,18999.69,22376.31
:2005-08-06 130510000-0400:170.06,18999.69,22376.31
:2005-08-06 130520000-0400:170.06,18995.95,22468.08
:2005-08-06 130530000-0400:169.99,18995.95,22468.08
:2005-08-06 130540000-0400:169.99,18992.22,22566.84
:2005-08-06 130550000-0400:169.99,18992.22,22566.84
:2005-08-06 130600000-0400:170,18990.25,22637.64
:2005-08-06 130610000-0400:170,18988.38,22637.64
:2005-08-06 130620000-0400:169.94,18988.38,22637.64
:2005-08-06 130630000-0400:169.94,18984.75,22722.42
:2005-08-06 130640000-0400:170.02,18984.75,22722.42
:2005-08-06 130650000-0400:170.02,18982.47,22821.19
:2005-08-06 130700000-0400:170.02,18980.71,22821.19
:2005-08-06 130710000-0400:170.26,18980.71,22898.98
:2005-08-06 130720000-0400:170.26,18976.97,22898.98
:2005-08-06 130730000-0400:171.03,18976.97,22898.98
:2005-08-06 130740000-0400:171.03,18973.44,22983.76
:2005-08-06 130750000-0400:173.09,18973.44,22983.76
:2005-08-06 130800000-0400:173.09,18971.7,23005.62
:2005-08-06 130810000-0400:173.09,18969.73,23005.62
:2005-08-06 130820000-0400:175.16,18969.73,22992.53
:2005-08-06 130830000-0400:175.16,18966.38,22992.53
:2005-08-06 130840000-0400:177.15,18966.38,22992.53
:2005-08-06 130850000-0400:177.15,18964.63,22965.46
:2005-08-06 130900000-0400:177.92,18962.66,22965.46
:2005-08-06 130910000-0400:177.92,18962.66,22966.35
:2005-08-06 130920000-0400:177.92,18958.71,22966.35
:2005-08-06 130930000-0400:179.22,18958.71,22966.35
:2005-08-06 130940000-0400:179.22,18955.29,22967.23
:2005-08-06 130950000-0400:180.3,18955.29,22967.23
:2005-08-06 131000000-0400:180.3,18953.32,22968.12
:2005-08-06 131010000-0400:181.07,18951.35,22968.12
:2005-08-06 131020000-0400:181.07,18951.35,22969.01
:2005-08-06 131030000-0400:181.07,18947.72,22969.01
:2005-08-06 131040000-0400:181.08,18947.72,22969.01
:2005-08-06 131050000-0400:181.08,18945.85,22969.9
:2005-08-06 131100000-0400:181.08,18943.98,22969.9
:2005-08-06 131110000-0400:181.08,18943.98,22970.79
:2005-08-06 131120000-0400:181.09,18940.25,22970.79
:2005-08-06 131130000-0400:181.09,18940.25,22971.68
:2005-08-06 131140000-0400:181.09,18936.2,22971.68
:2005-08-06 131150000-0400:182.02,18936.2,22971.68
:2005-08-06 131200000-0400:182.02,18934.23,22972.57
:2005-08-06 131210000-0400:182.03,18932.16,22972.57
:2005-08-06 131220000-0400:182.03,18932.16,22973.46
:2005-08-06 131230000-0400:182.04,18928.84,22973.46
:2005-08-06 131240000-0400:182.04,18928.84,22974.35
:2005-08-06 131250000-0400:182.04,18926.97,22974.35
:2005-08-06 131300000-0400:182.05,18924.9,22974.35
:2005-08-06 131310000-0400:182.05,18924.9,22975.24
:2005-08-06 131320000-0400:182.06,18921.68,22975.24
:2005-08-06 131330000-0400:182.06,18921.68,22976.13
:2005-08-06 131340000-0400:182.06,18917.43,22976.13
:2005-08-06 131350000-0400:182.06,18917.43,22976.13
:2005-08-06 131400000-0400:182.06,18915.56,23011.97
:2005-08-06 131410000-0400:182.07,18914,23011.97
:2005-08-06 131420000-0400:182.07,18914,22984.9
:2005-08-06 131430000-0400:181.93,18910.27,22984.9
:2005-08-06 131440000-0400:181.93,18910.27,22978.8
:2005-08-06 131450000-0400:181.94,18908.61,22978.8
:2005-08-06 131500000-0400:181.94,18906.74,22978.8
:2005-08-06 131510000-0400:182.41,18906.74,23007.65
:2005-08-06 131520000-0400:182.41,18902.9,23007.65
:2005-08-06 131530000-0400:182.41,18902.9,23022.52
:2005-08-06 131540000-0400:183.03,18898.76,23022.52
:2005-08-06 131550000-0400:183.03,18898.76,23023.41
:2005-08-06 131600000-0400:183.11,18896.99,23023.41
:2005-08-06 131610000-0400:183.11,18895.23,23023.41
:2005-08-06 131620000-0400:183.88,18895.23,23017.31
:2005-08-06 131630000-0400:183.88,18891.8,23017.31
:2005-08-06 131640000-0400:183.88,18891.8,22983.24
:2005-08-06 131650000-0400:184.12,18889.52,22983.24
