#v_a,w,h
:2005-08-06 124110000-0400:169.69,17099.69,12702.37
:2005-08-06 124120000-0400:169.01,17094.71,13136.70
:2005-08-06 124130000-0400:169.01,17094.71,13136.70
:2005-08-06 124140000-0400:169.48,17089.11,13564.05
:2005-08-06 124150000-0400:169.48,17089.11,13564.05
:2005-08-06 124200000-0400:168.35,17086.93,13998.38
:2005-08-06 124210000-0400:168.35,17084.75,13998.38
:2005-08-06 124220000-0400:168.35,17084.75,13998.38
:2005-08-06 124230000-0400:169.50,17080.08,14341.83
:2005-08-06 124240000-0400:169.50,17080.08,14341.83
:2005-08-06 124250000-0400:169.43,17077.90,14650.33
:2005-08-06 124300000-0400:169.43,17075.62,14650.33
:2005-08-06 124310000-0400:169.44,17075.62,14650.33
:2005-08-06 124320000-0400:169.44,17070.33,14972.81
:2005-08-06 124330000-0400:169.44,17070.33,14972.81
:2005-08-06 124340000-0400:169.22,17065.77,15295.28
:2005-08-06 124350000-0400:169.22,17065.77,15295.28
:2005-08-06 124400000-0400:169.46,17063.59,15603.78
:2005-08-06 124410000-0400:169.46,17061.41,15603.78
:2005-08-06 124420000-0400:169.62,17061.41,15603.78
:2005-08-06 124430000-0400:169.62,17056.12,15968.20
:2005-08-06 124440000-0400:167.60,17056.12,15968.20
:2005-08-06 124450000-0400:167.60,17053.84,16311.65
:2005-08-06 124500000-0400:167.60,17051.66,16311.65
:2005-08-06 124510000-0400:170.63,17051.66,16501.30
:2005-08-06 124520000-0400:170.63,17048.24,16501.30
:2005-08-06 124530000-0400:169.04,17048.24,16501.30
:2005-08-06 124540000-0400:169.04,17042.74,16802.81
:2005-08-06 124550000-0400:169.13,17042.74,16802.81
:2005-08-06 124600000-0400:169.13,17040.56,17111.30
:2005-08-06 124610000-0400:169.13,17038.90,17111.30
:2005-08-06 124620000-0400:169.67,17038.90,17377.85
:2005-08-06 124630000-0400:169.67,17034.23,17377.85
:2005-08-06 124640000-0400:169.30,17034.23,17377.85
:2005-08-06 124650000-0400:169.30,17032.16,17672.37
:2005-08-06 124700000-0400:169.69,17030.19,17672.37
:2005-08-06 124710000-0400:169.69,17030.19,17917.94
:2005-08-06 124720000-0400:169.69,17025.83,17917.94
:2005-08-06 124730000-0400:169.55,17025.83,18156.53
:2005-08-06 124740000-0400:169.55,17021.58,18156.53
:2005-08-06 124750000-0400:169.40,17021.58,18156.53
:2005-08-06 124800000-0400:169.40,17019.61,18367.15
:2005-08-06 124810000-0400:169.57,17017.53,18367.15
:2005-08-06 124820000-0400:169.57,17017.53,18577.77
:2005-08-06 124830000-0400:169.57,17013.07,18577.77
:2005-08-06 124840000-0400:169.57,17013.07,18577.77
:2005-08-06 124850000-0400:169.57,17011.00,18774.41
:2005-08-06 124900000-0400:170.50,17008.71,18774.41
:2005-08-06 124910000-0400:170.50,17008.71,18929.10
:2005-08-06 124920000-0400:175.53,17004.25,18929.10
:2005-08-06 124930000-0400:175.53,17004.25,18936.98
:2005-08-06 124940000-0400:175.53,17001.35,18936.98
:2005-08-06 124950000-0400:180.94,17001.35,18936.98
:2005-08-06 125000000-0400:180.94,16998.76,18937.87
:2005-08-06 125010000-0400:184.99,16996.27,18937.87
:2005-08-06 125020000-0400:184.99,16996.27,18938.76
:2005-08-06 125030000-0400:186.82,16991.70,18938.76
:2005-08-06 125040000-0400:186.82,16991.70,18946.64
:2005-08-06 125050000-0400:185.70,16989.52,18946.64
:2005-08-06 125100000-0400:185.70,16987.76,18946.64
:2005-08-06 125110000-0400:185.70,16987.76,19066.38
:2005-08-06 125120000-0400:179.84,16983.82,19066.38
:2005-08-06 125130000-0400:179.84,16983.82,19256.02
:2005-08-06 125140000-0400:177.18,16980.08,19256.02
:2005-08-06 125150000-0400:177.18,16980.08,19473.64
:2005-08-06 125200000-0400:173.69,16977.90,19473.64
:2005-08-06 125210000-0400:173.69,16975.83,19473.64
:2005-08-06 125220000-0400:173.69,16975.83,19670.27
:2005-08-06 125230000-0400:170.20,16971.58,19670.27
:2005-08-06 125240000-0400:170.20,16971.58,19901.87
:2005-08-06 125250000-0400:169.68,16969.50,19901.87
:2005-08-06 125300000-0400:169.68,16967.53,20056.56
:2005-08-06 125310000-0400:169.46,16967.53,20056.56
:2005-08-06 125320000-0400:169.46,16963.38,20056.56
:2005-08-06 125330000-0400:169.55,16963.38,20204.26
:2005-08-06 125340000-0400:169.55,16959.44,20204.26
:2005-08-06 125350000-0400:169.55,16959.44,20393.91
:2005-08-06 125400000-0400:169.71,16957.47,20393.91
:2005-08-06 125410000-0400:169.71,16955.60,20393.91
:2005-08-06 125420000-0400:169.72,16955.60,20583.56
:2005-08-06 125430000-0400:169.72,16951.66,20583.56
:2005-08-06 125440000-0400:169.73,16951.66,20696.30
:2005-08-06 125450000-0400:169.73,16949.17,20696.30
:2005-08-06 125500000-0400:169.73,16947.10,20830.02
:2005-08-06 125510000-0400:170.19,16947.10,20830.02
:2005-08-06 125520000-0400:170.19,16943.46,20830.02
:2005-08-06 125530000-0400:172.33,16943.46,20942.77
:2005-08-06 125540000-0400:172.33,16939.63,20942.77
:2005-08-06 125550000-0400:176.07,16939.63,20964.63
:2005-08-06 125600000-0400:176.07,16937.86,20964.63
:2005-08-06 125610000-0400:176.07,16936.00,20965.52
:2005-08-06 125620000-0400:179.66,16936.00,20965.52
:2005-08-06 125630000-0400:179.66,16932.47,20965.52
:2005-08-06 125640000-0400:181.42,16932.47,20966.41
