   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
238.49979,17.44125,-11.6639,1.12388,38851.73828
238.09595,17.44113,-11.66423,1.11526,38851.30859
237.68687,17.44083,-11.6651,1.11001,38850.87891
237.2825,17.44046,-11.66618,1.10982,38850.44922
236.88361,17.44008,-11.66726,1.11725,38850.01562
236.49045,17.43976,-11.6682,1.12962,38849.58594
236.10487,17.4395,-11.66896,1.14258,38849.15625
235.72543,17.4393,-11.66953,1.15909,38848.72656
235.35457,17.43915,-11.66994,1.17585,38848.29688
234.98976,17.43905,-11.67024,1.19228,38847.85938
234.62573,17.43897,-11.67047,1.20801,38847.43359
214.34952,17.44681,-11.64789,2.13575,38846.05859
214.4305,17.45123,-11.63515,2.37897,38845.65625
213.94226,17.45603,-11.62131,2.35303,38844.35938
213.61305,17.45502,-11.62421,2.27113,38843.96484
213.25569,17.45335,-11.62904,2.20073,38843.53125
212.89545,17.45138,-11.63472,2.15155,38843.0625
212.54611,17.4494,-11.64042,2.12677,38842.66797
212.2175,17.44759,-11.64562,2.12295,38842.26562
211.91733,17.44606,-11.65003,2.13464,38841.87109
211.64058,17.44484,-11.65355,2.15553,38841.44141
211.38414,17.44387,-11.65633,2.18082,38840.96875
211.14177,17.44313,-11.65849,2.20686,38840.53906
210.91237,17.44254,-11.66018,2.23074,38840.10938
210.69142,17.44206,-11.66156,2.25153,38839.67969
210.47144,17.44165,-11.66276,2.26946,38839.28125
210.2562,17.44127,-11.66383,2.28473,38838.85156
210.04396,17.44092,-11.66485,2.2977,38838.38281
209.83264,17.44058,-11.66583,2.30874,38837.91797
209.62639,17.44026,-11.66676,2.31916,38837.51562
209.41975,17.43995,-11.66766,2.32937,38837.08594
209.2186,17.43965,-11.6685,2.33913,38836.65625
209.01984,17.43938,-11.66928,2.3492,38836.26172
208.82074,17.43913,-11.67001,2.35975,38835.82422
208.62611,17.4389,-11.67066,2.37005,38835.39453
208.43826,17.4387,-11.67126,2.38057,38834.96875
208.24773,17.43851,-11.6718,2.39097,38834.53516
208.06323,17.43834,-11.67228,2.40142,38834.10156
207.87968,17.43819,-11.67272,2.41249,38833.70703
207.69653,17.43805,-11.67312,2.42199,38833.27344
207.51839,17.43793,-11.67348,2.43175,38832.875
207.33916,17.43781,-11.67381,2.44193,38832.44531
207.16226,17.43771,-11.6741,2.45104,38832.01562
206.98602,17.43762,-11.67437,2.46141,38831.58203
206.8109,17.43753,-11.67461,2.47152,38831.15234
206.64107,17.43746,-11.67483,2.4813,38830.75781
206.4718,17.43738,-11.67504,2.49016,38830.32031
215.12987,17.43546,-11.68057,2.09299,38828.96094
214.76668,17.43351,-11.6862,1.98677,38828.53125
223.53009,17.43054,-11.69477,1.81996,38825.98047
223.14537,17.42935,-11.69819,1.68169,38825.55078
221.75816,17.42735,-11.70396,1.67939,38823.66016
231.32259,17.42722,-11.70435,1.45684,38822.82812
230.9137,17.42611,-11.70753,1.31676,38822.36328
229.67633,17.42567,-11.70879,1.34085,38820.67188
229.43576,17.42665,-11.70599,1.3822,38820.24219
229.20665,17.42777,-11.70275,1.41859,38819.8125
228.96957,17.42893,-11.69941,1.44647,38819.37891
228.73169,17.43001,-11.69631,1.46604,38818.94922
228.48354,17.43097,-11.69354,1.47935,38818.51562
228.22533,17.43178,-11.69119,1.48824,38818.08594
227.97987,17.43246,-11.68923,1.49408,38817.61719
228.68871,17.43301,-11.68765,1.44829,38816.89062
229.66576,17.43323,-11.68703,1.40695,38815.92188
230.55095,17.43291,-11.68792,1.33498,38814.94922
231.38846,17.4322,-11.68999,1.259,38813.97656
232.11217,17.4313,-11.69258,1.1997,38813.03516
232.70512,17.43042,-11.69511,1.1574,38812.15625
233.17477,17.42972,-11.69714,1.13024,38811.35156
233.63345,17.42929,-11.69836,1.11999,38810.57031
234.10469,17.42914,-11.69879,1.11835,38809.78125
234.58708,17.4292,-11.69863,1.11795,38809
235.06847,17.42937,-11.69813,1.11377,38808.22266
235.54153,17.42959,-11.6975,1.10658,38807.4375
236.0092,17.42981,-11.69688,1.09424,38806.66406
236.46924,17.42999,-11.69635,1.07949,38805.88672
236.92247,17.43013,-11.69595,1.06311,38805.09375
237.37096,17.43023,-11.69567,1.04446,38804.32031
237.81085,17.43029,-11.69548,1.0276,38803.52344
238.24554,17.43034,-11.69535,1.00958,38802.73047
238.67728,17.43037,-11.69525,0.99353,38801.96094
239.10112,17.4304,-11.69516,0.97736,38801.1875
239.52446,17.43044,-11.69506,0.96317,38800.41406
239.94142,17.43048,-11.69495,0.94774,38799.625
240.35674,17.43052,-11.69482,0.93403,38798.82812
240.75935,17.43057,-11.69468,0.921,38798.03516
241.16022,17.43062,-11.69453,0.90736,38797.25391
241.55742,17.43068,-11.69437,0.89497,38796.46875
241.94948,17.43073,-11.69422,0.88095,38795.68359
242.34093,17.43078,-11.69406,0.86803,38794.88281
242.72395,17.43084,-11.6939,0.85546,38794.09766
243.09926,17.43089,-11.69376,0.84285,38793.30078
243.47594,17.43094,-11.69361,0.83086,38792.51562
243.85049,17.43099,-11.69346,0.81767,38791.72656
244.2205,17.43104,-11.69332,0.80591,38790.94141
244.58368,17.43109,-11.69318,0.79471,38790.14062
244.94235,17.43113,-11.69306,0.78432,38789.35547
245.3004,17.43116,-11.69297,0.77258,38788.56641
245.65067,17.43118,-11.69291,0.76065,38787.79297
245.99971,17.43119,-11.69288,0.74795,38786.99219
246.34615,17.4312,-11.69286,0.73635,38786.19141
246.686,17.43121,-11.69283,0.72535,38785.40234
247.0266,17.43123,-11.69279,0.71394,38784.59766
247.35905,17.43125,-11.69272,0.704,38783.82422
247.69025,17.43128,-11.69264,0.69311,38783.02734
248.01556,17.43131,-11.69254,0.6837,38782.22656
248.34157,17.43134,-11.69244,0.67366,38781.42578
248.66348,17.43138,-11.69233,0.66371,38780.64844
248.98242,17.43142,-11.69222,0.65416,38779.86719
249.29921,17.43146,-11.69211,0.64394,38779.08594
249.60992,17.4315,-11.69201,0.63496,38778.30859
249.91722,17.43153,-11.69191,0.62476,38777.52344
250.22029,17.43157,-11.6918,0.61584,38776.75
250.5226,17.4316,-11.6917,0.60604,38775.96484
250.82219,17.43164,-11.6916,0.59713,38775.17578
251.11743,17.43168,-11.69149,0.5884,38774.38672
251.41066,17.43171,-11.69139,0.57904,38773.60156
251.70181,17.43174,-11.6913,0.57049,38772.81641
251.9854,17.43178,-11.6912,0.5619,38772.01562
252.26857,17.43181,-11.6911,0.55348,38771.21875
252.54776,17.43185,-11.691,0.5455,38770.42188
252.82539,17.43188,-11.69091,0.53668,38769.62109
253.09767,17.43191,-11.69081,0.52874,38769.22656
253.3656,17.43195,-11.69071,0.52114,38768.44141
253.8707,17.43185,-11.69098,0.5072,38766.87109
253.85735,17.43185,-11.69098,0.50612,38766.87109
254.043,17.4319,-11.69086,0.50127,38766.10156
293.5751,15.53733,-17.24728,-0.12725,38748.37109
275.44785,15.26031,-18.07638,0.20593,38741.27734
274.53131,15.247,-18.11633,0.3134,38740.57031
273.59799,15.23362,-18.15648,0.3625,38739.86719
272.6669,15.22005,-18.19725,0.35287,38739.16016
271.74988,15.20652,-18.23788,0.3488,38738.46094
270.86319,15.19327,-18.2777,0.35073,38737.75781
264.94376,15.09903,-18.56113,0.55679,38727.38672
265.03912,15.10107,-18.55498,0.62936,38727.03906
265.10764,15.10289,-18.5495,0.67166,38726.35156
265.13312,15.10419,-18.54559,0.68417,38725.66016
265.12012,15.10489,-18.54349,0.67363,38724.97266
265.07462,15.10503,-18.54305,0.65069,38724.28516
265.0112,15.10477,-18.54383,0.6237,38723.58984
264.9386,15.10427,-18.54535,0.59919,38722.89844
264.86908,15.10369,-18.54711,0.58109,38722.21484
264.80457,15.10313,-18.54877,0.57129,38721.53516
264.7507,15.10269,-18.55011,0.56852,38720.84375
264.70367,15.10237,-18.55106,0.57121,38720.15234
264.66681,15.10219,-18.55162,0.57671,38719.45703
264.63544,15.1021,-18.55189,0.58365,38718.76562
264.60352,15.10207,-18.55196,0.59048,38718.07422
264.57452,15.10208,-18.55194,0.59576,38717.38672
264.49982,15.10209,-18.5519,0.60498,38716.70312
264.23737,15.10209,-18.55192,0.61048,38716.11719
263.96805,15.1021,-18.55186,0.61752,38715.55859
263.70688,15.10219,-18.55161,0.62806,38714.99609
263.4501,15.10233,-18.55118,0.6406,38714.4375
263.19821,15.10251,-18.55065,0.6526,38713.87891
262.94791,15.10269,-18.5501,0.66439,38713.31641
262.69699,15.10286,-18.5496,0.67418,38712.75781
262.44656,15.10299,-18.5492,0.68259,38712.19922
262.1965,15.10309,-18.54889,0.68962,38711.64453
261.94553,15.10316,-18.5487,0.69598,38711.08203
261.69418,15.1032,-18.54858,0.70202,38710.52734
261.44647,15.10322,-18.54852,0.70835,38709.96875
261.20035,15.10323,-18.54849,0.71449,38709.40625
260.95544,15.10323,-18.54848,0.72152,38708.84766
260.71243,15.10324,-18.54846,0.72849,38708.28906
260.47079,15.10324,-18.54845,0.73577,38707.73047
260.23257,15.10325,-18.54842,0.74334,38707.16797
259.99612,15.10326,-18.54839,0.75067,38706.60938
259.76312,15.10327,-18.54836,0.75801,38706.05078
259.53131,15.10328,-18.54833,0.76559,38705.48828
259.30154,15.10329,-18.54831,0.77283,38704.93359
259.07141,15.10329,-18.5483,0.77986,38704.375
258.84299,15.10329,-18.54829,0.78717,38703.81641
258.61633,15.10329,-18.54829,0.79395,38703.25781
258.39224,15.10329,-18.5483,0.80092,38702.69922
258.17007,15.10329,-18.54831,0.80783,38702.14453
257.94864,15.10328,-18.54832,0.81482,38701.58594
257.67389,15.10327,-18.54834,0.82694,38701.04297
257.35858,15.10327,-18.54836,0.83363,38700.53125
257.04999,15.10329,-18.54829,0.84365,38700.01562
256.7478,15.10335,-18.54812,0.85557,38699.50391
256.44623,15.10343,-18.54788,0.86804,38698.99219
256.14911,15.10352,-18.54761,0.87998,38698.48438
255.85405,15.10361,-18.54735,0.89121,38697.97266
255.56029,15.10368,-18.54711,0.90319,38697.46094
255.26819,15.10373,-18.54696,0.91309,38696.94531
254.97577,15.10376,-18.54688,0.92182,38696.43359
254.68459,15.10376,-18.54688,0.92985,38695.92188
254.39474,15.10375,-18.54692,0.93786,38695.41016
254.10635,15.10373,-18.54698,0.94643,38694.90234
253.82243,15.10371,-18.54704,0.95523,38694.39062
253.54066,15.10369,-18.5471,0.96427,38693.875
253.25998,15.10367,-18.54715,0.97359,38693.36328
252.98132,15.10366,-18.54719,0.98315,38692.85156
252.70541,15.10365,-18.54722,0.99262,38692.33984
252.43327,15.10364,-18.54724,1.00204,38691.83203
252.16161,15.10363,-18.54726,1.01134,38691.32031
251.89294,15.10363,-18.54728,1.02055,38690.80469
251.6268,15.10362,-18.5473,1.02968,38690.29297
251.36276,15.10361,-18.54733,1.03874,38689.78516
251.09949,15.1036,-18.54736,1.04756,38689.27344
250.83884,15.10359,-18.54739,1.05647,38688.76172
250.57939,15.10358,-18.54742,1.06537,38688.25391
250.32336,15.10357,-18.54746,1.07425,38687.74219
250.06854,15.10356,-18.5475,1.08292,38687.22656
249.81604,15.10354,-18.54753,1.09163,38686.71875
249.56564,15.10353,-18.54757,1.10039,38686.20703
249.31839,15.10352,-18.54761,1.10908,38685.69531
249.07257,15.10351,-18.54765,1.11768,38685.18359
248.8278,15.10349,-18.54769,1.12621,38684.67578
248.58665,15.10348,-18.54774,1.13456,38684.16406
248.34459,15.10346,-18.54778,1.14321,38683.64844
248.1057,15.10345,-18.54782,1.15153,38683.14062
247.86864,15.10344,-18.54786,1.15991,38682.62891
247.63353,15.10342,-18.5479,1.16835,38682.12109
247.399,15.10341,-18.54794,1.17663,38681.60938
247.16745,15.1034,-18.54797,1.18501,38681.09766
246.93878,15.10338,-18.54801,1.19328,38680.58594
246.71135,15.10337,-18.54805,1.20134,38680.07812
246.48468,15.10336,-18.54809,1.20952,38679.5625
246.26056,15.10334,-18.54813,1.21753,38679.05469
246.03629,15.10333,-18.54817,1.22556,38678.54688
245.81564,15.10332,-18.54821,1.23388,38678.03516
245.59674,15.1033,-18.54825,1.24185,38677.52344
245.37946,15.10329,-18.54829,1.2498,38677.01562
245.16383,15.10328,-18.54833,1.25748,38676.50391
244.95116,15.10327,-18.54837,1.26538,38675.98828
244.73778,15.10325,-18.54841,1.273,38675.47656
244.53879,15.10324,-18.54845,1.2804,38674.96875
244.32971,15.10323,-18.54849,1.28812,38674.45703
244.12152,15.10321,-18.54853,1.2957,38673.94531
243.91644,15.1032,-18.54857,1.30345,38673.4375
243.71275,15.10319,-18.54861,1.311,38672.92578
243.50868,15.10317,-18.54865,1.31867,38672.41016
243.30745,15.10316,-18.54869,1.32608,38671.90234
243.10878,15.10315,-18.54873,1.33357,38671.39062
242.91124,15.10313,-18.54877,1.34103,38670.87891
242.71614,15.10312,-18.5488,1.34829,38670.36719
242.51556,15.10311,-18.54884,1.3556,38669.85938
242.32318,15.1031,-18.54888,1.36285,38669.34766
242.13037,15.10308,-18.54892,1.3702,38668.83203
241.94205,15.10307,-18.54895,1.37753,38668.32031
241.75272,15.10306,-18.54899,1.38479,38667.80859
240.60399,15.09979,-18.55883,1.24527,37668.86719
240.48038,15.10009,-18.55793,1.28604,37668.35547
240.36235,15.10055,-18.55653,1.31813,37667.84766
240.2446,15.10105,-18.55504,1.33997,37667.33594
240.11787,15.10149,-18.55372,1.35292,37666.82812
239.98529,15.10183,-18.55269,1.3594,37666.32031
239.84723,15.10207,-18.55198,1.36182,37665.80859
239.70337,15.10221,-18.55155,1.36251,37665.30078
239.55603,15.10228,-18.55134,1.36275,37664.79297
239.40942,15.1023,-18.55127,1.36393,37664.28125
239.26326,15.1023,-18.55127,1.36614,37663.76953
239.11577,15.10229,-18.55131,1.36967,37663.26172
238.9697,15.10228,-18.55133,1.37419,37662.75391
238.82849,15.10228,-18.55134,1.37946,37662.24219
238.68814,15.10228,-18.55132,1.38517,37661.73438
238.54726,15.10229,-18.55129,1.39088,37661.22656
238.40939,15.10231,-18.55124,1.39659,37660.71484
238.27089,15.10233,-18.55119,1.4024,37660.20703
238.13461,15.10235,-18.55114,1.40804,37659.69922
237.99832,15.10236,-18.55109,1.41343,37659.19141
237.86365,15.10238,-18.55105,1.41884,37658.67578
237.72952,15.10238,-18.55102,1.42385,37658.16797
237.5968,15.10239,-18.55099,1.42899,37657.66016
237.46452,15.1024,-18.55098,1.4341,37657.14844
237.33392,15.1024,-18.55097,1.4391,37656.64062
237.20306,15.1024,-18.55097,1.44406,37656.12891
237.07333,15.1024,-18.55097,1.44892,37655.61719
241.33698,15.10222,-18.55151,1.25164,37016.14062
241.11725,15.10124,-18.55446,1.19892,37015.62891
241.5582,15.10295,-18.54931,1.34108,36725.64844
236.74142,15.1009,-18.55549,1.13797,33725.95703
236.53485,15.09864,-18.56231,0.97749,33725.44531
