   true air speed (m/s),   ambient pressure (pascal), ambient temperature ( celsius ),  angle of attack ( radian ),  current total weight ( newton )
113.9156962,60238.96783,262.48393,0.011233467,133553.1314
113.8902055,60238.93397,262.48392,0.011266105,133551.194
113.6345371,60238.86624,262.48385,0.011793195,133549.6302
112.9269657,60239.47579,262.48438,0.012375786,133546.9022
112.5934414,60240.83035,262.48552,0.013047913,133545.5468
112.2667746,60242.62514,262.48704,0.013825981,133544.1915
111.9360694,60244.52151,262.48864,0.014457092,133542.8362
111.6046389,60246.21471,262.49008,0.014947006,133541.4809
111.2733061,60247.60313,262.49126,0.015358206,133540.1256
110.9415,60248.72064,262.4922,0.015733452,133538.7702
110.2795289,60250.27838,262.49352,0.016485165,133536.0596
109.9557069,60250.85406,262.494,0.016876468,133534.7043
109.6278209,60251.36202,262.49442,0.017285225,133533.349
109.3085724,60251.76839,262.49478,0.017697995,133531.9937
108.9858771,60252.17476,262.49511,0.018122983,133530.647
108.6703532,60252.51339,262.49541,0.018551287,133529.283
108.3522467,60252.85203,262.49568,0.018985874,133527.9364
108.035699,60253.12294,262.49592,0.019420985,133526.5724
107.7215075,60253.39386,262.49614,0.019855398,133525.2258
107.408633,60253.6309,262.49634,0.020292603,133523.8618
107.0985261,60253.83409,262.49652,0.020730855,133522.5151
106.794999,60254.00341,262.49667,0.021162999,133521.1598
106.4889408,60254.17273,262.49681,0.021600553,133519.8045
106.184817,60254.30818,262.49692,0.022039678,133518.4492
105.8826377,60254.44364,262.49703,0.02248177,133517.1026
105.5831233,60254.54523,262.49711,0.022922815,133515.7386
105.2861245,60254.61296,262.49719,0.023362987,133514.3919
104.9947743,60254.71455,262.49725,0.023798273,133513.0366
104.6998898,60254.74841,262.4973,0.024244379,133511.6813
104.4079943,60254.81614,262.49734,0.024686995,133510.326
104.1182491,60254.85,262.49738,0.025131705,133508.9706
103.8345899,60254.88387,262.49741,0.025573273,133508.293
103.5488574,60254.91773,262.49743,0.026018158,133506.9377
103.2646734,60254.91773,262.49745,0.026467755,133505.591
102.9827375,60254.9516,262.49746,0.026915258,133504.227
102.4246275,60254.9516,262.49747,0.027812357,133501.5251
102.1491479,60254.9516,262.49747,0.028262652,133500.1698
101.8734625,60254.9516,262.49746,0.028716613,133498.8231
101.6024688,60254.9516,262.49746,0.029165686,133497.4591
101.3319844,60254.91773,262.49745,0.029613363,133496.1125
101.0634858,60254.91773,262.49743,0.030065404,133494.7572
100.7972147,60254.88387,262.49742,0.030516571,133493.4106
100.5320497,60254.88387,262.4974,0.03096739,133492.0552
100.2726671,60254.85,262.49738,0.031410355,133490.6999
100.0148586,60254.81614,262.49736,0.031860999,133489.3446
99.75973038,60254.81614,262.49734,0.032307804,133487.9893
99.50159267,60254.78228,262.49732,0.032760717,133486.634
99.24910356,60254.74841,262.49729,0.033207521,133485.2787
98.99737582,60254.71455,262.49727,0.033655722,133483.9233
98.74788591,60254.68068,262.49724,0.034103923,133482.5767
98.49976957,60254.64682,262.49722,0.034559454,133481.2127
98.25392707,60254.61296,262.49719,0.035010447,133479.8661
98.00619656,60254.61296,262.49717,0.035465804,133478.5194
97.75991679,60254.57909,262.49714,0.035919939,133477.1641
97.51416689,60254.54523,262.49711,0.036379135,133475.8175
97.27073713,60254.51136,262.49708,0.036834841,133474.4535
97.0289073,60254.4775,262.49705,0.037295259,133473.1069
96.55284082,60254.40977,262.497,0.038208415,133470.4049
96.31463781,60254.37591,262.49697,0.038667263,133469.0409
96.07845143,60254.34205,262.49694,0.039131695,133467.703
95.84775416,60254.30818,262.49692,0.039586702,133466.3477
95.61511744,60254.27432,262.49689,0.040047295,133464.9924
95.38598408,60254.24045,262.49686,0.040503175,133463.6457
95.15482381,60254.20659,262.49683,0.04096656,133462.2817
94.92669362,60254.17273,262.49681,0.041429771,133460.9351
94.47404464,60254.105,262.49675,0.042353574,133458.2331
94.24871302,60254.07113,262.49672,0.042817657,133456.8865
94.02595362,60254.03727,262.49669,0.043282962,133455.5312
93.80754642,60254.00341,262.49666,0.043742159,133454.1759
93.36947678,60253.93568,262.4966,0.044667183,133451.4739
93.15496392,60253.90181,262.49658,0.045125682,133450.1099
92.94124331,60253.86795,262.49655,0.045583307,133448.7633
92.72567584,60253.83409,262.49653,0.04605123,133447.408
92.51355,60253.80022,262.4965,0.046513394,133446.0526
92.30306523,60253.76636,262.49648,0.046978524,133444.6974
92.0903375,60253.76636,262.49645,0.047446272,133443.3507
91.88228605,60253.73249,262.49643,0.047913672,133441.9867
91.67583453,60253.69863,262.4964,0.048377581,133440.6401
91.47026271,60253.66477,262.49638,0.048841315,133439.2934
91.26248907,60253.6309,262.49636,0.04931011,133437.9381
91.05777122,60253.6309,262.49633,0.049779604,133436.5828
90.85163865,60253.59704,262.49631,0.050254159,133435.2275
90.44801618,60253.52931,262.49627,0.051194369,133432.6819
90.24571108,60253.52931,262.49625,0.051665433,133431.4048
90.04651836,60253.49545,262.49623,0.052135625,133430.1364
89.84893071,60253.46158,262.49621,0.052606864,133428.7811
89.65117844,60253.46158,262.49619,0.05308299,133427.4692
89.45449106,60253.42772,262.49617,0.053559989,133426.1573
89.26009296,60253.39386,262.49616,0.054037162,133424.8889
89.06727935,60253.39386,262.49614,0.054511717,133423.6117
88.87448632,60253.35999,262.49613,0.054992207,133422.3346
88.68304627,60253.35999,262.49612,0.055466936,133421.0662
88.49302095,60253.35999,262.49611,0.055943062,133419.7803
88.30150888,60253.32613,262.4961,0.056429311,133418.4772
88.11080449,60253.32613,262.49609,0.056907881,133417.1305
87.92335138,60253.32613,262.49608,0.057387498,133416.4616
87.73609377,60253.29226,262.49606,0.057869209,133415.0976
87.54940204,60253.29226,262.49605,0.058349523,133413.8378
87.36474237,60253.2584,262.49604,0.058832456,133412.5259
87.17977917,60253.2584,262.49602,0.059317134,133411.2488
86.99577284,60253.22454,262.49601,0.059797624,133409.963
86.81021804,60253.22454,262.49599,0.060291029,133408.6946
86.62650494,60253.19067,262.49598,0.06078199,133407.3827
86.44316224,60253.19067,262.49596,0.061270333,133406.0274
86.26251009,60253.15681,262.49595,0.061758677,133404.7503
86.08178076,60253.15681,262.49594,0.062246671,133403.4731
85.90228611,60253.12294,262.49593,0.062739378,133402.1613
85.7233059,60253.12294,262.49591,0.063228768,133400.8059
85.54614167,60253.08908,262.4959,0.063716937,133399.4941
85.18939534,60253.05522,262.49587,0.064704968,133396.8963
85.01226198,60253.05522,262.49585,0.065209369,133395.5845
84.83719154,60253.05522,262.49584,0.065704868,133394.2726
84.66123111,60253.02135,262.49584,0.066204905,133392.9694
84.48884093,60253.02135,262.49583,0.066701975,133391.6575
84.31686744,60253.02135,262.49582,0.067196252,133390.337
84.14431264,60252.98749,262.49581,0.067695068,133389.0338
83.63164347,60252.98749,262.49579,0.069198146,133385.0982
83.46263833,60252.95363,262.49579,0.069699754,133383.7863
83.29301071,60252.95363,262.49578,0.07020171,133382.431
83.12429365,60252.95363,262.49577,0.070706809,133381.1191
82.95651803,60252.95363,262.49576,0.071217493,133379.7638
82.78825883,60252.91976,262.49575,0.071722766,133378.4606
82.62063754,60252.91976,262.49574,0.072231878,133377.1487
82.45324775,60252.91976,262.49573,0.072749718,133375.8455
82.28899607,60252.8859,262.49572,0.073257958,133374.5336
82.12365892,60252.8859,262.49572,0.073769863,133373.2304
81.95895453,60252.8859,262.49571,0.074286481,133371.9098
81.79519671,60252.8859,262.49571,0.074796815,133370.6067
81.63233918,60252.8859,262.4957,0.075315876,133369.3035
81.47139537,60252.8859,262.4957,0.075827258,133367.9829
81.32383225,60252.85203,262.49569,0.076263416,133366.671
81.8589569,60251.39589,262.49445,0.074020842,133362.8397
82.1537436,60248.61905,262.49209,0.071983343,133360.798
82.43505187,60244.7247,262.4888,0.070005535,133358.7477
82.71155009,60240.35625,262.48511,0.068316405,133356.706
82.9931876,60236.05554,262.48149,0.066971803,133354.673
83.27952199,60232.22892,262.47824,0.065931062,133352.5705
83.56922084,60229.01185,262.47551,0.065097493,133350.5289
83.86630196,60226.37046,262.47329,0.064386445,133348.4611
84.17246301,60224.2709,262.47152,0.0637213,133346.4716
84.47722993,60222.64543,262.47015,0.063064358,133344.4213
84.78368422,60221.39247,262.46907,0.062394326,133342.3709
85.0948251,60220.37655,262.46821,0.061695845,133340.2684
85.40300277,60219.52996,262.46749,0.060968915,133338.2702
85.70972457,60218.78495,262.46688,0.060214583,133336.2893
86.01166205,60218.14154,262.46634,0.059460077,133334.2477
86.31414997,60217.59971,262.46586,0.058706967,133332.206
86.61384962,60217.09176,262.46543,0.057947225,133330.1557
86.91433636,60216.61766,262.46504,0.05719237,133328.1487
87.50599326,60215.83879,262.46439,0.055725769,133324.0481
87.80017291,60215.56788,262.46414,0.055009485,133321.989
88.09554608,60215.33083,262.46394,0.054297914,133319.8952
88.3850443,60215.12765,262.46378,0.053613396,133317.9057
88.67568458,60214.99219,262.46367,0.052931147,133316.8979
88.96406645,60214.8906,262.46359,0.052259718,133314.8041
89.24836364,60214.85674,262.46354,0.051595795,133312.7538
89.80955517,60214.85674,262.46354,0.050316468,133308.6357
90.08712857,60214.8906,262.46357,0.049697225,133306.5332
90.35982505,60214.95833,262.46363,0.049083916,133304.5524
90.6348108,60215.05992,262.46371,0.048476541,133302.502
90.90499164,60215.16151,262.46381,0.047889237,133300.5124
91.17421048,60215.29697,262.46392,0.047297396,133298.5229
91.4391337,60215.43242,262.46405,0.046720739,133296.4812
91.70304347,60215.60174,262.46419,0.046163979,133294.3614
91.96752428,60215.80493,262.46434,0.045594128,133292.2676
92.22677833,60215.97425,262.46449,0.045039811,133290.2259
92.48406721,60216.17743,262.46465,0.044501028,133288.1843
92.73954525,60216.38061,262.46482,0.043965386,133286.0905
92.99213725,60216.5838,262.465,0.043440391,133284.0314
93.24140595,60216.78698,262.46518,0.042926915,133281.929
93.4894657,60216.99016,262.46536,0.042432812,133279.8699
93.73462399,60217.22721,262.46555,0.041929633,133277.8283
94.22200823,60217.66744,262.46594,0.040959754,133273.7189
94.45947558,60217.90449,262.46613,0.04048066,133271.712
94.69377396,60218.14154,262.46632,0.040023384,133269.6182
94.9283347,60218.37858,262.46652,0.039562791,133267.5678
95.15769441,60218.61563,262.46672,0.039119827,133265.4654
95.38832995,60218.85268,262.46692,0.038668833,133263.4237
95.61496311,60219.08973,262.46712,0.038243496,133261.3125
95.83969282,60219.32677,262.46731,0.037811004,133259.2622
96.06114553,60219.52996,262.46751,0.037394393,133257.2032
96.28118866,60219.767,262.4677,0.036981099,133255.1528
96.71631054,60220.2411,262.4681,0.036173535,133251.0608
96.92865759,60220.44428,262.46829,0.035783454,133249.0626
97.13881826,60220.68133,262.46848,0.035402448,133247.0035
97.34611861,60220.91838,262.46867,0.035018301,133244.9532
97.55493657,60221.15542,262.46886,0.034637121,133242.8941
97.76158359,60221.35861,262.46905,0.034270951,133240.8524
97.96465521,60221.56179,262.46923,0.033905479,133238.8108
98.16508774,60221.79884,262.46941,0.033545243,133236.7518
98.36187286,60222.00202,262.46959,0.033203682,133234.6927
98.75357052,60222.40839,262.46993,0.032509913,133230.5572
98.94762394,60222.61157,262.47011,0.032180395,133228.4982
99.13615738,60222.81475,262.47028,0.031850178,133226.4566
99.32483486,60223.01794,262.47045,0.031524849,133224.4062
99.51228282,60223.22112,262.47061,0.031207373,133222.3558
99.69658238,60223.39044,262.47078,0.030892166,133220.2881
99.87964728,60223.59362,262.47094,0.030581847,133218.2464
100.0601091,60223.79681,262.4711,0.03028165,133216.1874
100.2371653,60223.96613,262.47125,0.029985118,133214.1284
100.4154716,60224.13545,262.47141,0.029684398,133212.0172
100.5904597,60224.33863,262.47156,0.029402353,133210.019
100.7642389,60224.50795,262.47172,0.029110185,133208.0295
101.1065602,60224.88045,262.47201,0.028549235,133203.9983
101.2742844,60225.04977,262.47215,0.028275568,133201.8958
101.6045729,60225.35455,262.47243,0.027745511,133197.7342
101.7667873,60225.52387,262.47257,0.027483362,133195.6839
101.92858,60225.69319,262.47271,0.02722453,133193.6944
102.0887624,60225.86251,262.47285,0.026975995,133191.7049
102.2464909,60225.99796,262.47298,0.026723097,133189.6979
102.4035867,60226.16728,262.47311,0.026474038,133187.7084
102.5589745,60226.30274,262.47324,0.026231786,133185.7015
102.711821,60226.47206,262.47337,0.025991803,133183.7033
102.8644205,60226.60751,262.4735,0.02575217,133181.7137
103.1616765,60226.91229,262.47374,0.02529245,133177.7172
103.3086172,60227.04774,262.47386,0.025073062,133175.7191
103.5978787,60227.31865,262.4741,0.024637951,133171.7226
103.7393097,60227.45411,262.47421,0.024417341,133169.733
103.8816255,60227.58956,262.47433,0.024201618,133167.7261
104.0193524,60227.72502,262.47444,0.023987466,133165.6671
104.2917917,60227.99593,262.47466,0.023583423,133161.5143
104.4253105,60228.09752,262.47476,0.023382011,133159.4118
104.5582377,60228.23298,262.47486,0.023189851,133157.3354
104.6893283,60228.36843,262.47496,0.022992977,133155.2677
104.8186544,60228.47003,262.47506,0.022800642,133153.2868
104.9460358,60228.57162,262.47516,0.022617906,133151.2886
105.0722341,60228.70707,262.47526,0.022431156,133149.2817
105.198741,60228.80866,262.47537,0.022251736,133147.2921
105.3225317,60228.94412,262.47547,0.022068302,133145.2939
105.4456793,60229.07958,262.47557,0.021890802,133143.287
105.6878075,60229.28276,262.47576,0.021546448,133139.2993
105.8062376,60229.38435,262.47585,0.021373137,133137.2923
105.9235823,60229.51981,262.47594,0.021201396,133135.2941
106.0400113,60229.6214,262.47603,0.021033495,133133.3046
106.1554062,60229.72299,262.47612,0.020876067,133131.2977
106.2681415,60229.82458,262.4762,0.020712529,133129.2994
106.3816124,60229.92617,262.47629,0.020556671,133127.2925
106.4923105,60230.02776,262.47637,0.020398544,133125.303
106.711515,60230.19708,262.47653,0.020093984,133121.2978
106.9256163,60230.40027,262.47669,0.019788726,133117.3101
107.0314478,60230.50186,262.47677,0.019647005,133115.3032
107.1340691,60230.56959,262.47684,0.019500223,133113.3136
107.2387018,60230.67118,262.47692,0.019358328,133111.3154
107.440189,60230.8405,262.47706,0.019077155,133107.3103
107.5404387,60230.90823,262.47714,0.018944859,133105.3121
107.6392839,60231.00982,262.47721,0.018807152,133103.3052
107.7378205,60231.07755,262.47728,0.018672937,133101.3069
107.8347984,60231.14527,262.47734,0.01864536,133099.3
107.9272388,60231.14527,262.47731,0.018613072,133097.3105
108.0155843,60230.90823,262.47714,0.019521865,133095.3036
105.343557,60009.81082,262.28999,0.024398492,133085.3125
103.4844901,59842.48929,262.14824,0.029510563,133081.316
102.4761748,59751.93722,262.07146,0.030870699,133079.3352
100.2869635,59558.4389,261.90731,0.036430099,133075.3648
99.10010514,59454.27354,261.81887,0.034129405,133073.3752
92.04858008,58703.54474,261.18001,0.048416501,133051.6207
93.09344671,58577.13081,261.07218,0.042436303,133033.9407
93.69330899,58587.3577,261.0809,0.0458945,133031.3691
94.23336716,58595.28186,261.08766,0.050049258,133028.7019
92.94044592,58275.268,260.81442,0.043288547,133007.4165
92.52494493,58210.35091,260.75891,0.043813892,133004.758
91.54874114,58031.98974,260.60636,0.046405532,132996.8085
93.07814714,57762.67015,260.37575,0.04254748,132970.4928
96.00101732,57846.75421,260.4478,0.044690222,132960.0499
97.17917639,57883.12404,260.47893,0.040368785,132954.8111
97.6885171,57893.82503,260.48811,0.041251049,132952.1873
98.13648979,57900.46236,260.49379,0.039657039,132949.5722
98.53317242,57903.34079,260.49626,0.039633477,132946.9485
98.87246367,57902.18942,260.49526,0.036741116,132944.3334
99.18995278,57898.32893,260.49196,0.034519486,132941.7184
99.50073355,57893.48639,260.48781,0.03269614,132939.0946
99.81640153,57888.81317,260.48382,0.031478248,132936.4708
100.1412163,57884.98655,260.48052,0.030707685,132933.8558
100.8191403,57880.44879,260.47664,0.029883366,132928.6256
101.1681237,57879.53447,260.47586,0.029583518,132926.0019
101.5192626,57879.19583,260.47558,0.029262726,132923.3868
101.8683129,57879.22969,260.47561,0.028880848,132920.7631
102.216041,57879.46674,260.4758,0.028445214,132918.148
102.5609243,57879.77151,260.47605,0.027967866,132915.5243
102.9001178,57880.04242,260.4763,0.027457182,132912.9091
103.5660192,57880.51652,260.47672,0.026419758,132907.6703
104.2171047,57880.92289,260.47705,0.025404849,132902.4228
104.5345732,57881.09221,260.4772,0.024909175,132899.8078
104.8488677,57881.29539,260.47737,0.024438809,132897.1927
105.1617473,57881.49857,260.47754,0.023976122,132894.569
105.7738122,57881.9388,260.47792,0.023084258,132889.3388
106.3693017,57882.4129,260.47833,0.022231141,132884.0913
106.6631676,57882.64994,260.47854,0.021811214,132881.4762
106.9529899,57882.92086,260.47876,0.021404553,132878.8525
107.2389282,57883.19177,260.47898,0.021005221,132876.2374
107.5222788,57883.42881,260.47921,0.020611998,132873.6137
107.8021878,57883.69973,260.47944,0.020225059,132870.9899
108.079077,57883.97064,260.47968,0.019851732,132868.3749
108.3520204,57884.24155,260.4799,0.019462524,132865.7511
108.6226025,57884.51246,260.48012,0.019107873,132863.1273
109.1492851,57885.02042,260.48057,0.01840817,132857.8885
109.4415459,57885.5961,260.48105,0.01800657,132853.0928
109.531162,57886.17179,260.48157,0.017974281,132850.9295
109.6377754,57887.11998,260.48236,0.017983357,132848.7575
109.7615764,57888.20362,260.48329,0.017975154,132846.5942
109.888073,57889.28727,260.48422,0.017889283,132844.4135
110.0101248,57890.23546,260.48502,0.017748435,132842.2502
110.1288071,57891.01433,260.48569,0.017570063,132840.0869
110.2455704,57891.62388,260.48623,0.017390992,132837.9236
110.358033,57892.1657,260.48668,0.017211397,132835.7517
110.470367,57892.60593,260.48705,0.017043322,132833.5884
110.5805815,57892.97843,260.48738,0.016883275,132831.4251
110.6889285,57893.31707,260.48768,0.016733875,132829.2531
110.7945387,57893.65571,260.48795,0.016589187,132827.0811
110.9010132,57893.96049,260.48821,0.016442405,132824.9178
111.0031869,57894.2314,260.48846,0.016321628,132822.7458
