#vw,aw,true_va,va,aa,true_vg,vg,ag,true_aoa,aoa
:2019-06-07 000806000-0400:10.000,290.51929,107.96537,33.4692647,0.43294,109.84346,0,-9.1511,-0.63195,-0.63195
:2019-06-07 000807000-0400:10.000,290.51932,107.96233,25.9109592,0.43293,109.84091,0,-9.14869,-0.6318,-0.6318
:2019-06-07 000808000-0400:10.000,290.51932,107.96002,35.6268066,0.43292,109.83838,0,-9.14644,-0.63167,-0.63167
:2019-06-07 000809000-0400:10.000,290.51932,107.95786,29.1486222,0.43291,109.83588,0,-9.14448,-0.63156,-0.63156
:2019-06-07 000810000-0400:10.000,290.51935,107.9553,25.909272,0.4329,109.83347,0,-9.14248,-0.63145,-0.63145
:2019-06-07 000811000-0400:10.000,290.51935,107.95274,31.3062946,0.43289,109.83106,0,-9.14013,-0.63131,-0.63131
:2019-06-07 000812000-0400:10.000,290.51935,107.95024,28.0670624,0.43288,109.82865,0,-9.13813,-0.6312,-0.6312
:2019-06-07 000813000-0400:10.000,290.51935,107.94806,35.6228598,0.43287,109.82624,0,-9.13623,-0.63109,19.36891
:2019-06-07 000814000-0400:10.000,290.51935,107.94598,25.9070352,0.43286,109.82385,0,-9.13417,-0.63097,19.36903
:2019-06-07 000815000-0400:10.000,290.51935,107.94363,33.4625253,0.43285,109.82152,0,-9.13208,-0.63085,19.36915
:2019-06-07 000816000-0400:10.000,290.51941,107.94125,23.747075,0.43284,109.81927,0,-9.12998,-0.63073,19.36927
:2019-06-07 000817000-0400:10.000,290.51941,107.93927,32.381781,0.43283,109.81713,0,-9.12788,-0.6306,19.3694
:2019-06-07 000818000-0400:10.000,290.51941,107.93722,29.1430494,0.43283,109.81522,0,-9.12642,-0.63052,19.36948
:2019-06-07 000819000-0400:10.000,290.51944,107.93554,26.983885,0.4329,109.81353,0,-9.12506,-0.63044,19.36956
:2019-06-07 000820000-0400:10.000,290.51944,107.93378,33.4594718,0.43297,109.81213,0,-9.12375,-0.63037,19.36963
:2019-06-07 000821000-0400:10.000,290.51944,107.93234,29.1417318,0.43304,109.81078,0,-9.12278,-0.63032,19.36968
:2019-06-07 000822000-0400:10.000,290.51947,107.93096,23.7448112,0.43311,109.80954,0,-9.12171,-0.63027,19.36973
:2019-06-07 000823000-0400:10.000,290.51947,107.92954,33.4581574,0.43311,109.80835,0,-9.12079,-0.63022,19.36978
:2019-06-07 000824000-0400:10.000,290.51947,107.92825,30.21991,0.43309,109.80714,0,-9.12012,-0.63018,19.36982
:2019-06-07 000825000-0400:10.000,290.5195,107.92712,35.6159496,0.43309,109.80593,0,-9.11926,-0.63013,19.36987
:2019-06-07 000826000-0400:10.000,290.5195,107.92653,33.4572243,0.43308,109.80473,0,-9.11817,-0.63007,19.36993
:2019-06-07 000827000-0400:10.000,290.5195,107.92551,23.7436122,0.43307,109.80353,0,-9.11724,-0.63002,19.36998
:2019-06-07 000828000-0400:10.000,290.5195,107.92422,26.981055,0.43306,109.80232,0,-9.11641,-0.62997,19.37003
:2019-06-07 000829000-0400:10.000,290.51953,107.92295,34.535344,0.43305,109.80114,0,-9.11539,-0.62991,19.37009
:2019-06-07 000830000-0400:10.000,290.51953,107.92174,26.980435,0.43304,109.79995,0,-9.11455,-0.62987,19.37013
:2019-06-07 000831000-0400:10.000,290.51953,107.92044,30.2177232,0.43303,109.79875,0,-9.11365,-0.62982,19.37018
:2019-06-07 000832000-0400:10.000,290.51956,107.91913,23.7422086,0.43303,109.79758,0,-9.11254,-0.62975,19.37025
:2019-06-07 000833000-0400:10.000,290.51956,107.91788,26.97947,0.43301,109.79637,0,-9.11181,-0.62971,19.37029
:2019-06-07 000834000-0400:10.000,290.51956,107.91715,25.900116,0.433,109.79518,0,-9.11104,-0.62967,19.37033
:2019-06-07 000835000-0400:10.000,290.51959,107.91579,31.2955791,0.43299,109.79398,0,-9.11009,-0.62961,19.37039
:2019-06-07 000836000-0400:10.000,290.51959,107.91481,25.8995544,0.43298,109.79279,0,-9.10898,-0.62955,19.37045
:2019-06-07 000837000-0400:10.000,290.51959,107.91382,35.6115606,0.43297,109.79159,0,-9.10787,-0.62948,19.37052
:2019-06-07 000838000-0400:10.000,290.51959,107.91274,24.8199302,0.43296,109.79041,0,-9.10731,-0.62945,19.37055
:2019-06-07 000839000-0400:10.000,290.51959,107.9115,23.74053,0.43296,109.78922,0,-9.10618,-0.62939,19.37061
:2019-06-07 000840000-0400:10.000,290.51959,107.91019,21.582038,0.43295,109.78809,0,-9.10551,-0.62935,19.37065
:2019-06-07 000841000-0400:10.000,290.51965,107.9091,23.740002,0.43294,109.78705,0,-9.10449,-0.62929,19.37071
:2019-06-07 000842000-0400:10.000,290.51965,107.90791,33.4514521,0.43297,109.78627,0,-9.10408,-0.62927,19.37073
:2019-06-07 000843000-0400:10.000,290.51965,107.907,34.53024,0.43305,109.78557,0,-9.10362,-0.62925,19.37075
