#vw,aw,true_va,va,aa,true_vg,vg,ag,true_aoa,aoa
:2019-06-07 000652000-0400:10.012,290.55273,100.9702,100.9702,2.46456,103.51966,103.51966,-3.26445,-0.23283,19.76717
:2019-06-07 000653000-0400:10.012,290.55139,101.50689,101.50689,2.33844,103.95412,103.95412,-3.49024,-0.25721,19.74279
:2019-06-07 000654000-0400:10.011,290.54947,101.96927,101.96927,2.20129,104.36874,104.36874,-3.83955,-0.27976,19.72024
:2019-06-07 000655000-0400:10.010,290.54724,102.39007,102.39007,2.0885,104.73457,104.73457,-4.10944,-0.30139,19.69861
:2019-06-07 000656000-0400:10.010,290.54504,102.76328,102.76328,1.98477,105.0649,105.0649,-4.38385,-0.32123,19.67877
:2019-06-07 000657000-0400:10.009,290.54272,103.10274,103.10274,1.89117,105.37504,105.37504,-4.65609,-0.34031,19.65969
:2019-06-07 000658000-0400:10.008,290.54053,103.41992,103.41992,1.80855,105.67375,105.67375,-4.93729,-0.35942,19.64058
:2019-06-07 000659000-0400:10.007,290.53854,103.72002,103.72002,1.7382,105.95969,105.95969,-5.21933,-0.37828,19.62172
:2019-06-07 000660000-0400:10.007,290.53668,104.00866,104.00866,1.67978,106.23644,106.23644,-5.4951,-0.39689,19.60311
:2019-06-07 000661000-0400:10.006,290.535,104.28259,104.28259,1.63242,106.50047,106.50047,-5.75552,-0.41432,19.58568
:2019-06-07 000662000-0400:10.005,290.53351,104.54366,104.54366,1.59457,106.7533,106.7533,-6.00496,-0.431,19.569
:2019-06-07 000663000-0400:10.005,290.5321,104.79338,26.198345,1.56519,106.99644,106.99644,-6.23994,-0.44687,-0.44687
:2019-06-07 000664000-0400:10.005,290.53082,105.03339,32.5603509,1.54101,107.23112,107.23112,-6.47167,-0.46197,-0.46197
:2019-06-07 000665000-0400:10.004,290.52966,105.26331,28.4210937,1.52165,107.4565,107.4565,-6.69257,-0.4763,-0.4763
:2019-06-07 000666000-0400:10.004,290.52856,105.48345,21.09669,1.506,107.67245,107.67245,-6.92251,-0.4915,-0.4915
:2019-06-07 000667000-0400:10.003,290.52759,105.69376,25.3665024,1.49211,107.87933,107.87933,-7.1399,-0.50534,-0.50534
:2019-06-07 000668000-0400:10.003,290.5267,105.89315,23.296493,1.48023,108.07601,108.07601,-7.33716,-0.51768,-0.51768
:2019-06-07 000669000-0400:10.003,290.52585,106.08511,32.8863841,1.46984,108.26595,108.26595,-7.52516,-0.52928,-0.52928
:2019-06-07 000670000-0400:10.002,290.52502,106.26987,35.0690571,1.46106,108.44874,108.44874,-7.704,-0.54028,-0.54028
:2019-06-07 000671000-0400:10.002,290.52426,106.44774,34.0632768,1.45365,108.6249,108.6249,-7.87689,-0.55084,-0.55084
:2019-06-07 000672000-0400:10.002,290.5235,106.6174,22.389654,1.44756,108.79307,108.79307,-8.04216,-0.5609,-0.5609
:2019-06-07 000673000-0400:10.002,290.52283,106.7795,34.16944,1.44261,108.95387,108.95387,-8.20054,-0.5705,-0.5705
:2019-06-07 000674000-0400:10.001,290.52219,106.93465,35.2884345,1.43862,109.10783,109.10783,-8.3526,-0.57968,-0.57968
:2019-06-07 000675000-0400:10.001,290.52158,107.08417,32.125251,1.43543,109.25628,109.25628,-8.4989,-0.58848,-0.58848
:2019-06-07 000676000-0400:10.001,290.52106,107.2263,25.734312,1.43291,109.39732,109.39732,-8.63851,-0.59689,-0.59689
:2019-06-07 000677000-0400:10.001,290.52045,107.36417,25.7674008,1.43076,109.53477,109.53477,-8.77587,-0.60497,-0.60497
