#,va,failed_va,aa,vg,ag,vw,aw
:2009-06-01 031021000-0400:181.6621937,181.6621937,181.6621937,38.28989686,445.8333333,30,10,38.28989686
:2009-06-01 031022000-0400:188.9221023,188.9221023,188.9221023,37.31839858,445.8333333,30,10,37.31839858
:2009-06-01 031023000-0400:192.1634047,192.1634047,192.1634047,37.31839858,441.9871795,30,10,37.31839858
:2009-06-01 031024000-0400:197.854143,197.854143,197.854143,37.76422313,438.4615385,30,10,37.76422313
:2009-06-01 031025000-0400:208.5788419,208.5788419,208.5788419,37.76422313,430.982906,30,10,37.76422313
:2009-06-01 031026000-0400:211.9576075,211.9576075,211.9576075,37.02894533,430.982906,30,10,37.02894533
:2009-06-01 031027000-0400:208.3264674,208.3264674,208.3264674,37.00232893,427.2435897,30,10,37.00232893
:2009-06-01 031028000-0400:212.1779697,212.1779697,212.1779697,37.00232893,426.9230769,30,10,37.00232893
:2009-06-01 031029000-0400:208.5912569,208.5912569,208.5912569,37.92059443,418.5897436,30,10,37.92059443
:2009-06-01 031030000-0400:218.2900992,218.2900992,218.2900992,37.18531662,418.5897436,30,10,37.18531662
:2009-06-01 031031000-0400:209.8324598,209.8324598,209.8324598,37.18531662,417.3076923,30,10,37.18531662
:2009-06-01 031032000-0400:205.7263993,205.7263993,205.7263993,38.10358212,416.9871795,30,10,38.10358212
:2009-06-01 031033000-0400:215.0689128,215.0689128,215.0689128,37.84074526,412.9120879,30,10,37.84074526
:2009-06-01 031034000-0400:210.1994664,210.1994664,210.1994664,37.84074526,412.9120879,30,10,37.84074526
:2009-06-01 031035000-0400:212.6643873,212.6643873,212.6643873,37.34168792,410.2564103,30,10,37.34168792
:2009-06-01 031036000-0400:209.5174223,209.5174223,209.5174223,36.13396917,409.6153846,30,10,36.13396917
:2009-06-01 031037000-0400:414.5673129,414.5673129,414.5673129,36.13396917,408.0128205,30,10,36.13396917
:2009-06-01 031038000-0400:420.3729954,420.3729954,420.3729954,36.34357325,408.0128205,30,10,36.34357325
:2009-06-01 031039000-0400:413.871915,413.871915,413.871915,36.34357325,405.7692308,30,10,36.34357325
:2009-06-01 031040000-0400:409.926534,409.926534,409.926534,36.55317733,405.2197802,30,10,36.55317733
:2009-06-01 031041000-0400:414.4373422,414.4373422,414.4373422,36.99900189,405.2197802,30,10,36.99900189
:2009-06-01 031042000-0400:414.3035094,414.3035094,414.3035094,36.99900189,405.7692308,30,10,36.99900189
:2009-06-01 031043000-0400:413.4337572,413.4337572,413.4337572,36.26372408,404.1208791,30,10,36.26372408
:2009-06-01 031044000-0400:414.2349404,414.2349404,414.2349404,36.00088721,401.9230769,30,10,36.00088721
:2009-06-01 031045000-0400:414.4264594,414.4264594,414.4264594,36.00088721,401.9230769,30,10,36.00088721
:2009-06-01 031046000-0400:414.291867,414.291867,414.291867,36.68293224,401.9230769,30,10,36.68293224
:2009-06-01 031047000-0400:415.093341,415.093341,415.093341,36.1838749,401.9230769,30,10,36.1838749
:2009-06-01 031048000-0400:415.036076,415.036076,415.036076,36.1838749,401.9230769,30,10,36.1838749
:2009-06-01 031049000-0400:413.0264519,413.0264519,413.0264519,36.39347898,401.9230769,30,10,36.39347898
:2009-06-01 031050000-0400:408.7698521,408.7698521,408.7698521,36.13064212,401.9230769,30,10,36.13064212
:2009-06-01 031051000-0400:408.9163876,408.9163876,408.9163876,36.13064212,401.9230769,30,10,36.13064212
:2009-06-01 031052000-0400:412.6922258,412.6922258,412.6922258,37.04890762,399.0384615,30,10,37.04890762
:2009-06-01 031053000-0400:404.8236379,404.8236379,404.8236379,37.49473217,399.0384615,30,10,37.49473217
:2009-06-01 031054000-0400:413.8056089,413.8056089,413.8056089,37.49473217,398.7179487,30,10,37.49473217
:2009-06-01 031055000-0400:406.3964013,406.3964013,406.3964013,36.05079295,393.9102564,30,10,36.05079295
:2009-06-01 031056000-0400:406.0452123,406.0452123,406.0452123,36.05079295,389.5604396,30,10,36.05079295
:2009-06-01 031057000-0400:404.7924272,404.7924272,404.7924272,36.26039703,389.5604396,30,10,36.26039703
:2009-06-01 031058000-0400:399.2662989,399.2662989,399.2662989,35.76133969,384.8901099,30,10,35.76133969
:2009-06-01 031059000-0400:391.2041344,391.2041344,391.2041344,35.76133969,378.5714286,30,10,35.76133969
:2009-06-01 031100000-0400:389.8020931,389.8020931,389.8020931,34.58768358,377.5641026,30,10,34.58768358
:2009-06-01 031101000-0400:389.5826056,389.5826056,389.5826056,36.88920927,377.5641026,30,10,36.88920927
:2009-06-01 031102000-0400:387.6961387,387.6961387,387.6961387,36.88920927,368.9102564,30,10,36.88920927
:2009-06-01 031103000-0400:374.7908416,374.7908416,374.7908416,37.5712543,364.8351648,30,10,37.5712543
:2009-06-01 031104000-0400:375.869848,375.869848,375.869848,37.54463791,360.5769231,30,10,37.54463791
:2009-06-01 031105000-0400:368.2669757,368.2669757,368.2669757,37.54463791,360.5769231,30,10,37.54463791
:2009-06-01 031106000-0400:368.4707856,368.4707856,368.4707856,37.51802151,356.7307692,30,10,37.51802151
:2009-06-01 031107000-0400:365.1180066,365.1180066,365.1180066,37.49140512,351.2019231,30,10,37.49140512
:2009-06-01 031108000-0400:360.2222477,360.2222477,360.2222477,37.49140512,344.2307692,30,10,37.49140512
:2009-06-01 031109000-0400:352.4782273,352.4782273,352.4782273,37.46478873,344.2307692,30,10,37.46478873
:2009-06-01 031110000-0400:352.5629952,352.5629952,352.5629952,37.46478873,344.2307692,30,10,37.46478873
:2009-06-01 031111000-0400:344.5439767,344.5439767,344.5439767,37.43817234,341.9871795,30,10,37.43817234
:2009-06-01 031112000-0400:345.7272567,345.7272567,345.7272567,37.41155595,337.8205128,30,10,37.41155595
:2009-06-01 031113000-0400:345.7294299,345.7294299,345.7294299,37.41155595,337.8205128,30,10,37.41155595
:2009-06-01 031114000-0400:342.039729,342.039729,342.039729,37.38493956,333.974359,30,10,37.38493956
:2009-06-01 031115000-0400:339.8253615,339.8253615,339.8253615,36.41344128,329.3269231,30,10,36.41344128
:2009-06-01 031116000-0400:339.7769804,339.7769804,339.7769804,36.41344128,327.8846154,30,10,36.41344128
:2009-06-01 031117000-0400:330.2365048,330.2365048,330.2365048,35.91438394,327.8846154,30,10,35.91438394
:2009-06-01 031118000-0400:330.4228116,330.4228116,330.4228116,36.83264944,326.9230769,30,10,36.83264944
