time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5520.7764,29.418182,29.65821,29.611069,0.011189701,42.737762,-73.80426,0.3431333,279.34293,119.68001,111.601,1870.2811,0.0032480857,433.63742
5520.9766,30.379166,30.625828,29.611076,0.011204107,42.737793,-73.80426,0.36047283,279.33566,119.68001,111.601,1870.2811,0.0032480857,403.15393
5521.177,31.342293,31.588055,29.611088,0.011226633,42.73782,-73.80426,0.35551992,279.32425,119.68001,111.58216,1870.2622,0.0032480857,406.5216
5521.3765,32.299706,32.551,29.611105,0.011258366,42.73785,-73.80426,0.37022755,279.30823,119.68001,111.58216,1870.2622,0.0032480857,373.4756
5521.577,33.259354,33.512478,29.61112,0.011290396,42.73788,-73.80426,0.36565417,279.29202,119.68001,111.58216,1870.2622,0.0032480857,373.29913
5521.7773,34.21018,34.469315,29.611137,0.011327722,42.73791,-73.80426,0.37127504,279.27313,119.68001,111.58216,1870.2622,0.0032480857,343.20883
5521.9775,35.15995,35.42215,29.611149,0.011349753,42.737946,-73.80426,0.37174124,279.26202,119.68001,111.58216,1870.2622,0.0032480857,335.2959
5522.1777,36.09845,36.36839,29.61116,0.011374555,42.737976,-73.80426,0.3608763,279.24948,119.68001,111.58216,1870.2622,0.0032480857,348.9384
5522.378,37.02655,37.30604,29.61116,0.011374456,42.73801,-73.80426,0.36787394,279.2495,119.68001,111.56277,1870.2429,0.0032480857,371.3089
5522.578,37.95153,38.234776,29.611155,0.011360049,42.738045,-73.80426,0.35214528,279.2568,119.68001,111.56277,1870.2429,0.0032480857,372.0076
5522.7783,38.867245,39.158325,29.611135,0.011325643,42.738083,-73.80426,0.35594696,279.2742,119.68001,111.56277,1870.2429,0.0032480857,323.361
5522.9785,39.777447,40.071728,29.611109,0.011271831,42.738117,-73.80426,0.35971606,279.30142,119.68001,111.56277,1870.2429,0.0032480857,308.97205
5523.179,40.682507,40.978302,29.611082,0.011219157,42.738155,-73.80426,0.34876433,279.32803,119.68001,111.56277,1870.2429,0.0032480857,320.6256
5523.379,41.573822,41.87666,29.611055,0.01116079,42.738194,-73.80426,0.3611633,279.35754,119.68001,111.54366,1870.2238,0.0032480857,293.3121
5523.5723,42.431828,42.735348,29.611027,0.011106037,42.73823,-73.80426,0.37432143,279.38522,119.68001,111.54366,1870.2238,0.0032480857,280.6935
5523.77,43.298584,43.607136,29.611012,0.0110738585,42.738274,-73.80426,0.37418154,279.40152,119.68001,111.54366,1870.2238,0.0032480857,276.1267
5523.97,44.170757,44.484047,29.611006,0.011061927,42.73831,-73.80426,0.3897833,279.40753,119.68001,111.54366,1870.2238,0.0032480857,251.47205
5524.1704,45.039795,45.356003,29.61101,0.011069947,42.738354,-73.80426,0.41146013,279.40347,119.68001,111.54366,1870.2238,0.0032480857,227.74365
5524.3706,45.90047,46.2174,29.611025,0.01110267,42.738396,-73.80426,0.4166719,279.38693,119.68001,111.52427,1870.2043,0.0032480857,227.3526
5524.571,46.75325,47.07206,29.611053,0.011155493,42.738438,-73.80426,0.41339922,279.36023,119.68001,111.52427,1870.2043,0.0032480857,220.3407
5524.771,47.598557,47.921234,29.611078,0.011207721,42.738483,-73.80426,0.41621226,279.33383,119.68001,111.52427,1870.2043,0.0032480857,200.78279
